| People and Society | Colombia |
| --- | --- |
| Population: | 49,084,841 (July 2020 est.) |
| Nationality: | noun: Colombian(s) |
| Nationality: | adjective: Colombian |
| Ethnic groups: | Mestizo and White 87.6%, Afro-Colombian (includes mulatto, Raizal, and Palenquero) 6.8%, Amerindian 4.3%, unspecified 1.4% (2018 est.) |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 79%, Protestant 14% (includes Pentecostal 6%, mainline Protestant 2%, other 6%), other 2%, unspecified 5% (2014 est.) |
| Demographic profile: | Colombia is in the midst of a demographic transition resulting from steady declines in its fertility, mortality, and population growth rates. The birth rate has fallen from more than 6 children per woman in the 1960s to just above replacement level today as a result of increased literacy, family planning services, and urbanization. However, income inequality is among the worst in the world, and more than a third of the population lives below the poverty line. |
| Demographic profile: | Colombia experiences significant legal and illegal economic emigration and refugee outflows. Large-scale labor emigration dates to the 1960s; the United States and, until recently, Venezuela have been the main host countries. Emigration to Spain picked up in the 1990s because of its economic growth, but this flow has since diminished because of Spainâ€™s ailing economy and high unemployment. Colombia has been the largest source of Latin American refugees in Latin America, nearly 400,000 of whom live primarily in Venezuela and Ecuador. Venezuelaâ€™s political and economic crisis since 2015, however, has created a reverse flow, consisting largely of Colombians returning home. |
| Demographic profile: | Forced displacement continues to be prevalent because of violence among guerrillas, paramilitary groups, and Colombian security forces. Afro-Colombian and indigenous populations are disproportionately affected. Even with the Colombian Governmentâ€™s December 2016 peace agreement with the Revolutionary Armed Forces of Colombia (FARC), the risk of displacement remains as other rebel groups fill the void left by the FARC. Between 1985 and September 2017, nearly 7.6 million persons have been internally displaced, the highest total in the world. These estimates may undercount actual numbers because many internally displaced persons are not registered. Historically, Colombia also has one of the worldâ€™s highest levels of forced disappearances. About 30,000 cases have been recorded over the last four decadesâ€”although the number is likely to be much higherâ€”including human rights activists, trade unionists, Afro-Colombians, indigenous people, and farmers in rural conflict zones. |
| Demographic profile: | Because of political violence and economic problems, Colombia received limited numbers of immigrants during the 19th and 20th centuries, mostly from the Middle East, Europe, and Japan. More recently, growth in the oil, mining, and manufacturing sectors has attracted increased labor migration; the primary source countries are Venezuela, the US, Mexico, and Argentina. Colombia has also become a transit area for illegal migrants from Africa, Asia, and the Caribbean -- especially Haiti and Cuba -- who are en route to the US or Canada. |
| Age structure: | 0-14 years: 23.27% (male 5,853,351/female 5,567,196) |
| Age structure: | 15-24 years: 16.38% (male 4,098,421/female 3,939,870) |
| Age structure: | 25-54 years: 42.04% (male 10,270,516/female 10,365,423) |
| Age structure: | 55-64 years: 9.93% (male 2,307,705/female 2,566,173) |
| Age structure: | 65 years and over: 8.39% (male 1,725,461/female 2,390,725) (2020 est.) |
| Dependency ratios: | total dependency ratio: 45.4 |
| Dependency ratios: | youth dependency ratio: 32.3 |
| Dependency ratios: | elderly dependency ratio: 13.2 |
| Dependency ratios: | potential support ratio: 7.6 (2020 est.) |
| Median age: | total: 31.2 years |
| Median age: | male: 30.2 years |
| Median age: | female: 32.2 years (2020 est.) |
| Population growth rate: | 0.93% (2020 est.) |
| Birth rate: | 15.4 births/1,000 population (2020 est.) |
