| People and Society | Colombia |
| --- | --- |
| Nationality: | noun: Colombian(s) |
| Nationality: | adjective: Colombian |
| Ethnic groups: | mestizo 58%, white 20%, mulatto 14%, black 4%, mixed black-Amerindian 3%, Amerindian 1% |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 90%, other 10% |
| Demographic profile: | Colombia is in the midst of a demographic transition resulting from steady declines in its fertility, mortality, and population growth rates. The birth rate has fallen from more than 6 children per woman in the 1960s to just above replacement level today as a result of increased literacy, family planning services, and urbanization. However, income inequality is among the worst in the world, and more than a third of the population lives below the poverty line. |
| Demographic profile: | Colombia experiences significant legal and illegal economic emigration and refugee flows. Large-scale labor emigration dates to the 1960s; Venezuela and the United States continue to be the main host countries. Colombia is the largest source of Latin American refugees in Latin America, nearly 400,000 of whom live primarily in Venezuela and Ecuador. Forced displacement remains prevalent because of violence among guerrillas, paramilitary groups, and Colombian security forces. Afro-Colombian and indigenous populations are disproportionately affected. A leading NGO estimates that 5.2 million people have been displaced since 1985, while the Colombian Government estimates 3.6 million since 2000. These estimates may undercount actual numbers because not all internally displaced persons are registered. Historically, Colombia also has one of the world's highest levels of forced disappearances. About 30,000 cases have been recorded over the last four decades - although the number is likely to be much higher - including human rights activists, trade unionists, Afro-Colombians, indigenous people, and farmers in rural conflict zones. |
| Population: | 46,245,297 (July 2014 est.) |
| Age structure: | 0-14 years: 25.3% (male 5,998,645/female 5,720,229) |
| Age structure: | 15-24 years: 18% (male 4,243,251/female 4,099,299) |
| Age structure: | 25-54 years: 41.6% (male 9,515,723/female 9,720,894) |
| Age structure: | 55-64 years: 8.3% (male 1,796,050/female 2,051,948) |
| Age structure: | 65 years and over: 6.5% (male 1,293,258/female 1,806,000) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.9 % |
| population pyramid: | youth dependency ratio: 41.2 % |
| population pyramid: | elderly dependency ratio: 9.6 % |
| population pyramid: | potential support ratio: 10.4 (2014 est.) |
| Median age: | total: 28.9 years |
| Median age: | male: 27.9 years |
| Median age: | female: 29.9 years (2014 est.) |
| Population growth rate: | 1.07% (2014 est.) |
| Birth rate: | 16.73 births/1,000 population (2014 est.) |
| Death rate: | 5.36 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.65 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 75.3% of total population (2011) |
| Urbanization: | rate of urbanization: 1.65% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BOGOTA (capital) 8.743 million; Medellin 3.694 million; Cali 2.453 million; Barranquilla 1.9 million; Bucaramanga 1.12 million; Cartagena 988,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 21.4 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 92 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.02 deaths/1,000 live births |
| Infant mortality rate: | male: 18.22 deaths/1,000 live births |
| Infant mortality rate: | female: 11.62 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 75.25 years |
| Life expectancy at birth: | male: 72.08 years |
| Life expectancy at birth: | female: 78.61 years (2014 est.) |
| Total fertility rate: | 2.07 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 79.1% (2010) |
| Health expenditures: | 6.1% of GDP (2011) |
| Physicians density: | 1.47 physicians/1,000 population (2010) |
| Hospital bed density: | 1.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.9% of population |
| Drinking water source: | rural: 73.6% of population |
| Drinking water source: | total: 91.2% of population |
| unimproved: | urban: 3.1% of population |
| unimproved: | rural: 26.4% of population |
| unimproved: | total: 8.8% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84.9% of population |
| Sanitation facility access: | rural: 65.7% of population |
| Sanitation facility access: | total: 80.2% of population |
| unimproved: | urban: 15.1% of population |
| unimproved: | rural: 34.3% of population |
| unimproved: | total: 19.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 146,500 (2012 est.) |
| HIV/AIDS - deaths: | 6,500 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever (2013) |
| Obesity - adult prevalence rate: | 17.3% (2008) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | 4.4% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.6% |
| Literacy: | male: 93.5% |
| Literacy: | female: 93.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
