| People and Society | COLOMBIA |
| --- | --- |
| Population: | 47,220,856 (July 2016 est.) |
| Nationality: | noun: Colombian(s) |
| Nationality: | adjective: Colombian |
| Ethnic groups: | mestizo and white 84.2%, Afro-Colombian (includes multatto, Raizal, and Palenquero) 10.4%, Amerindian 3.4%, Roma <.01, unspecified 2.1% (2005 est.) |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 90%, other 10% |
| Demographic profile: | Colombia is in the midst of a demographic transition resulting from steady declines in its fertility, mortality, and population growth rates. The birth rate has fallen from more than 6 children per woman in the 1960s to just above replacement level today as a result of increased literacy, family planning services, and urbanization. However, income inequality is among the worst in the world, and more than a third of the population lives below the poverty line. |
| Demographic profile: | Colombia experiences significant legal and illegal economic emigration and refugee flows. Large-scale labor emigration dates to the 1960s; Venezuela and the United States continue to be the main host countries. Colombia is the largest source of Latin American refugees in Latin America, nearly 400,000 of whom live primarily in Venezuela and Ecuador. Forced displacement remains prevalent because of violence among guerrillas, paramilitary groups, and Colombian security forces. Afro-Colombian and indigenous populations are disproportionately affected. A leading NGO estimates that 5.2 million people have been displaced since 1985, while the Colombian Government estimates 3.6 million since 2000. These estimates may undercount actual numbers because not all internally displaced persons are registered. Historically, Colombia also has one of the world's highest levels of forced disappearances. About 30,000 cases have been recorded over the last four decades - although the number is likely to be much higher - including human rights activists, trade unionists, Afro-Colombians, indigenous people, and farmers in rural conflict zones. |
| Age structure: | 0-14 years: 24.57% (male 5,940,903/female 5,659,594) |
| Age structure: | 15-24 years: 17.54% (male 4,216,437/female 4,066,079) |
| Age structure: | 25-54 years: 41.82% (male 9,788,057/female 9,958,982) |
| Age structure: | 55-64 years: 8.9% (male 1,973,215/female 2,230,609) |
| Age structure: | 65 years and over: 7.17% (male 1,412,209/female 1,974,771) (2016 est.) |
| Dependency ratios: | total dependency ratio: 45.6% |
| Dependency ratios: | youth dependency ratio: 35.4% |
| Dependency ratios: | elderly dependency ratio: 10.2% |
| Dependency ratios: | potential support ratio: 9.8% (2015 est.) |
| Median age: | total: 29.6 years |
| Median age: | male: 28.7 years |
| Median age: | female: 30.6 years (2016 est.) |
| Population growth rate: | 1.02% (2016 est.) |
| Birth rate: | 16.3 births/1,000 population (2016 est.) |
| Death rate: | 5.4 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated |
| Urbanization: | urban population: 76.4% of total population (2015) |
| Urbanization: | rate of urbanization: 1.66% annual rate of change (2010-15 est.) |
