| People and Society | TIMOR-LESTE |
| --- | --- |
| Population: | 1,291,358 (July 2017 est.) |
| Nationality: | noun: Timorese |
| Nationality: | adjective: Timorese |
| Ethnic groups: | Austronesian (Malayo-Polynesian) (includes Tetun, Mambai, Tokodede, Galoli, Kemak, Baikeno), Melanesian-Papuan (includes Bunak, Fataluku, Bakasai), small Chinese minority |
| Languages: | Tetun Prasa 30.6%, Mambai 16.6%, Makasai 10.5%, Tetun Terik 6.1%, Baikenu 5.9%, Kemak 5.8%, Bunak 5.5%, Tokodede 4%, Fataluku 3.5%, Waima'a 1.8%, Galoli 1.4%, Naueti 1.4%, Idate 1.2%, Midiki 1.2%, other 4.5% |
| Languages: | note: data represent population by mother tongue; Tetun and Portuguese are official languages; Indonesian and English are working languages; there are about 32 indigenous languages |
| Religions: | Roman Catholic 97.6%, Protestant/Evangelical 2%, Muslim 0.2%, other 0.2% (2015 est.) |
| Age structure: | 0-14 years: 40.91% (male 271,623/female 256,733) |
| Age structure: | 15-24 years: 20.32% (male 133,254/female 129,166) |
| Age structure: | 25-54 years: 29.95% (male 185,911/female 200,903) |
| Age structure: | 55-64 years: 4.94% (male 32,168/female 31,680) |
| Age structure: | 65 years and over: 3.87% (male 23,924/female 25,996) (2017 est.) |
| Dependency ratios: | total dependency ratio: 90.3 |
| Dependency ratios: | youth dependency ratio: 83.7 |
| Dependency ratios: | elderly dependency ratio: 6.6 |
| Dependency ratios: | potential support ratio: 15.2 (2015 est.) |
| Median age: | total: 18.9 years |
| Median age: | male: 18.3 years |
| Median age: | female: 19.6 years (2017 est.) |
| Population growth rate: | 2.36% (2017 est.) |
| Birth rate: | 33.4 births/1,000 population (2017 est.) |
| Death rate: | 5.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | -3.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population concentrated in the western third of the country, particularly around Dili |
| Urbanization: | urban population: 34% of total population (2017) |
| Urbanization: | rate of urbanization: 3.63% annual rate of change (2015-20 est.) |
| Major urban areas - population: | DILI (capital) 228,000 (2014) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 22.1 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2009/10 est.) |
| Maternal mortality rate: | 215 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 35.1 deaths/1,000 live births |
| Infant mortality rate: | male: 37.9 deaths/1,000 live births |
| Infant mortality rate: | female: 32.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 68.4 years |
| Life expectancy at birth: | male: 66.8 years |
| Life expectancy at birth: | female: 70.1 years (2017 est.) |
| Total fertility rate: | 4.79 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 22.3% (2009/10) |
| Health expenditures: | 1.5% of GDP (2014) |
| Physicians density: | 0.08 physicians/1,000 population (2011) |
| Hospital bed density: | 5.9 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.2% of population |
| Drinking water source: | rural: 60.5% of population |
| Drinking water source: | total: 71.9% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 39.5% of population |
| unimproved: | total: 28.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 69% of population |
| Sanitation facility access: | rural: 26.8% of population |
| Sanitation facility access: | total: 40.6% of population |
| unimproved: | urban: 31% of population |
| unimproved: | rural: 73.2% of population |
| unimproved: | total: 59.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
| Obesity - adult prevalence rate: | 3.8% (2016) |
| Children under the age of 5 years underweight: | 37.7% (2013) |
| Education expenditures: | 7.9% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.5% |
| Literacy: | male: 71.5% |
| Literacy: | female: 63.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Unemployment, youth ages 15-24: | total: 11.1% |
| Unemployment, youth ages 15-24: | male: 11.1% |
| Unemployment, youth ages 15-24: | female: 20% (2010 est.) |
