| People and Society | COTE D'IVOIRE |
| --- | --- |
| Population: | 24,184,810 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 28.8%, Voltaique or Gur 16.1%, Northern Mande 14.5%, Kru 8.5%, Southern Mande 6.9%, unspecified 0.9%, non-Ivoirian 42.3% (2014 est.) |
| Languages: | French (official), 60 native dialects of which Dioula is the most widely spoken |
| Religions: | Muslim 42.9%, Catholic 17.2%, Evangelical 11.8%, Methodist 1.7%, other Christian 3.2%, animist 3.6%, other religion 0.5%, none 19.1% |
| Religions: | note: the majority of foreign migrant workers are Muslim (72.7%) and Christian (17.7%) (2014 est.) |
| Demographic profile: | Cote d’Ivoire’s population is likely to continue growing for the foreseeable future because almost 60% of the populace is younger than 25, the total fertility rate is holding steady at about 3.5 children per woman, and contraceptive use is under 20%. The country will need to improve education, health care, and gender equality in order to turn its large and growing youth cohort into human capital. Even prior to 2010 unrest that shuttered schools for months, access to education was poor, especially for women. As of 2015, only 53% of men and 33% of women were literate. The lack of educational attainment contributes to Cote d’Ivoire’s high rates of unskilled labor, adolescent pregnancy, and HIV/AIDS prevalence. |
| Demographic profile: | Following its independence in 1960, Cote d’Ivoire’s stability and the blossoming of its labor-intensive cocoa and coffee industries in the southwest made it an attractive destination for migrants from other parts of the country and its neighbors, particularly Burkina Faso. The HOUPHOUET-BOIGNY administration continued the French colonial policy of encouraging labor immigration by offering liberal land ownership laws. Foreigners from West Africa, Europe (mainly France), and Lebanon composed about 25% of the population by 1998. |
| Demographic profile: | Ongoing economic decline since the 1980s and the power struggle after HOUPHOUET-BOIGNY’s death in 1993 ushered in the politics of “Ivoirite,” institutionalizing an Ivoirian identity that further marginalized northern Ivoirians and scapegoated immigrants. The hostile Muslim north-Christian south divide snowballed into a 2002 civil war, pushing tens of thousands of foreign migrants, Liberian refugees, and Ivoirians to flee to war-torn Liberia or other regional countries and more than a million people to be internally displaced. Subsequently, violence following the contested 2010 presidential election prompted some 250,000 people to seek refuge in Liberia and other neighboring countries and again internally displaced as many as a million people. By July 2012, the majority had returned home, but ongoing inter-communal tension and armed conflict continue to force people from their homes. |
| Age structure: | 0-14 years: 36.97% (male 4,508,541/female 4,431,979) |
| Age structure: | 15-24 years: 20.91% (male 2,549,588/female 2,508,317) |
| Age structure: | 25-54 years: 34.58% (male 4,272,294/female 4,090,997) |
| Age structure: | 55-64 years: 4.04% (male 490,918/female 486,702) |
| Age structure: | 65 years and over: 3.5% (male 403,757/female 441,717) (2017 est.) |
| Dependency ratios: | total dependency ratio: 83.8 |
| Dependency ratios: | youth dependency ratio: 78.5 |
| Dependency ratios: | elderly dependency ratio: 5.3 |
| Dependency ratios: | potential support ratio: 18.9 (2015 est.) |
| Median age: | total: 20.9 years |
| Median age: | male: 21 years |
| Median age: | female: 20.9 years (2017 est.) |
| Population growth rate: | 1.84% (2017 est.) |
| Birth rate: | 27.7 births/1,000 population (2017 est.) |
| Death rate: | 9.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is primarily located in the forested south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the northern savanna remains sparsely populated with higher concentrations located along transportation corridors |
| Urbanization: | urban population: 55.5% of total population (2017) |
| Urbanization: | rate of urbanization: 3.39% annual rate of change (2015-20 est.) |
| Major urban areas - population: | YAMOUSSOUKRO (capital) 259,000 (2014); ABIDJAN (seat of government) 4.86 million; Bouake 762,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.8 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011/12 est.) |
| Maternal mortality rate: | 645 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 55.8 deaths/1,000 live births |
| Infant mortality rate: | male: 61.5 deaths/1,000 live births |
| Infant mortality rate: | female: 49.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 59 years |
| Life expectancy at birth: | male: 57.8 years |
| Life expectancy at birth: | female: 60.2 years (2017 est.) |
| Total fertility rate: | 3.38 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 18.2% (2011/12) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 0.14 physicians/1,000 population (2008) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.1% of population |
| Drinking water source: | rural: 68.8% of population |
| Drinking water source: | total: 81.9% of population |
| unimproved: | urban: 6.9% of population |
| unimproved: | rural: 31.2% of population |
| unimproved: | total: 18.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32.8% of population |
| Sanitation facility access: | rural: 10.3% of population |
| Sanitation facility access: | total: 22.5% of population |
| unimproved: | urban: 67.2% of population |
| unimproved: | rural: 89.7% of population |
| unimproved: | total: 77.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.7% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 460,000 (2016 est.) |
| HIV/AIDS - deaths: | 25,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
