| People and Society | Cote d'Ivoire |
| --- | --- |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 14,000 French) (1998) |
| Languages: | French (official), 60 native dialects of which Dioula is the most widely spoken |
| Religions: | Muslim 38.6%, Christian 32.8%, indigenous 11.9%, none 16.7% (2008 est.) |
| Religions: | note: the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%) |
| Population: | 21,504,162 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 39.8% (male 4,312,133/female 4,240,500) |
| Age structure: | 15-64 years: 57.2% (male 6,262,802/female 6,039,458) |
| Age structure: | 65 years and over: 3% (male 320,396/female 328,873) (2011 est.) |
| Median age: | total: 19.6 years |
| Median age: | male: 19.7 years |
| Median age: | female: 19.5 years (2011 est.) |
| Population growth rate: | 2.078% (2011 est.) |
| Birth rate: | 30.95 births/1,000 population (2011 est.) |
| Death rate: | 10.16 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population NA (2011 est.) |
| Urbanization: | urban population: 51% of total population (2010) |
| Urbanization: | rate of urbanization: 3.7% annual rate of change (2010-15 est.) |
| Major cities - population: | ABIDJAN (seat of government) 4.009 million; YAMOUSSOUKRO (capital) 808,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.99 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2011 est.) |
| Maternal mortality rate: | 470 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 64.78 deaths/1,000 live births |
| Infant mortality rate: | male: 71.54 deaths/1,000 live births |
| Infant mortality rate: | female: 57.83 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 56.78 years |
| Life expectancy at birth: | male: 55.79 years |
| Life expectancy at birth: | female: 57.81 years (2011 est.) |
| Total fertility rate: | 3.92 children born/woman (2011 est.) |
| Health expenditures: | 5.1% of GDP (2009) |
| Physicians density: | 0.144 physicians/1,000 population (2008) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 68% of population |
| Drinking water source: | total: 80% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 32% of population |
| unimproved: | total: 20% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 36% of population |
| Sanitation facility access: | rural: 11% of population |
| Sanitation facility access: | total: 23% of population |
| unimproved: | urban: 64% of population |
| unimproved: | rural: 89% of population |
| unimproved: | total: 77% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 3.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 450,000 (2009 est.) |
| HIV/AIDS - deaths: | 36,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 16.7% (2006) |
| Education expenditures: | 4.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 48.7% |
| Literacy: | male: 60.8% |
| Literacy: | female: 38.6% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2000) |
