| People | Cote d'Ivoire |
| --- | --- |
| Population: | 20,179,602 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 40.9% (male 4,161,238/female 4,092,593) |
| Age structure: | 15-64 years: 56.3% (male 5,790,503/female 5,568,621) |
| Age structure: | 65 years and over: 2.8% (male 285,116/female 281,531) (2008 est.) |
| Median age: | total: 19 years |
| Median age: | male: 19.2 years |
| Median age: | female: 18.9 years (2008 est.) |
| Population growth rate: | 2.156% (2008 est.) |
| Birth rate: | 32.73 births/1,000 population (2008 est.) |
| Death rate: | 11.17 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 69.76 deaths/1,000 live births |
| Infant mortality rate: | male: 77.06 deaths/1,000 live births |
| Infant mortality rate: | female: 62.25 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 54.64 years |
| Life expectancy at birth: | male: 53.95 years |
| Life expectancy at birth: | female: 55.35 years (2008 est.) |
| Total fertility rate: | 4.23 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 7% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 570,000 (2003 est.) |
| HIV/AIDS - deaths: | 47,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 14,000 French) (1998) |
| Religions: | Muslim 38.6%, Christian 32.8%, indigenous 11.9%, none 16.7% (2008 est) |
| Religions: | note: the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%) |
| Languages: | French (official), 60 native dialects with Dioula the most widely spoken |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 48.7% |
| Literacy: | male: 60.8% |
| Literacy: | female: 38.6% (2000 est.) |
| Education expenditures: | 4.6% of GDP (2001) |
