| People and Society | COTE D'IVOIRE |
| --- | --- |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 14,000 French) (1998) |
| Languages: | French (official), 60 native dialects of which Dioula is the most widely spoken |
| Religions: | Muslim 38.6%, Christian 32.8%, indigenous 11.9%, none 16.7% (2008 est.) |
| Religions: | note: the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%) |
| Population: | 23,295,302 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 37.94% (male 4,456,646/female 4,381,907) |
| Age structure: | 15-24 years: 20.95% (male 2,459,156/female 2,420,284) |
| Age structure: | 25-54 years: 33.53% (male 3,997,615/female 3,812,563) |
| Age structure: | 55-64 years: 4.25% (male 495,177/female 493,854) |
| Age structure: | 65 years and over: 3.34% (male 375,276/female 402,824) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.5% |
| population pyramid: | youth dependency ratio: 77.9% |
| population pyramid: | elderly dependency ratio: 5.6% |
| population pyramid: | potential support ratio: 18% (2015 est.) |
| Median age: | total: 20.3 years |
| Median age: | male: 20.3 years |
| Median age: | female: 20.2 years (2014 est.) |
| Population growth rate: | 1.91% (2015 est.) |
| Birth rate: | 28.67 births/1,000 population (2015 est.) |
| Death rate: | 9.55 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 54.2% of total population (2015) |
| Urbanization: | rate of urbanization: 3.69% annual rate of change (2010-15 est.) |
| Major urban areas - population: | YAMOUSSOUKRO (capital) 259,000 (2014); ABIDJAN (seat of government) 4.86 million; Bouake 762,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 58.7 deaths/1,000 live births |
| Infant mortality rate: | male: 64.77 deaths/1,000 live births |
| Infant mortality rate: | female: 52.44 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 58.34 years |
| Life expectancy at birth: | male: 57.21 years |
| Life expectancy at birth: | female: 59.51 years (2015 est.) |
| Total fertility rate: | 3.54 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 18.2% (2011/12) |
| Health expenditures: | 5.7% of GDP (2013) |
| Physicians density: | 0.14 physicians/1,000 population (2008) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.1% of population |
| Drinking water source: | rural: 68.8% of population |
| Drinking water source: | total: 81.9% of population |
| unimproved: | urban: 6.9% of population |
| unimproved: | rural: 31.2% of population |
| unimproved: | total: 18.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32.8% of population |
| Sanitation facility access: | rural: 10.3% of population |
| Sanitation facility access: | total: 22.5% of population |
| unimproved: | urban: 67.2% of population |
| unimproved: | rural: 89.7% of population |
| unimproved: | total: 77.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.67% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 371,600 (2013 est.) |
| HIV/AIDS - deaths: | 27,900 (2013 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 8% (2014) |
| Children under the age of 5 years underweight: | 15.7% (2012) |
| Education expenditures: | 4.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43.1% |
| Literacy: | male: 53.1% |
| Literacy: | female: 32.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2013) |
| Child labor - children ages 5-14: | total number: 1,796,802 |
| Child labor - children ages 5-14: | percentage: 35% (2006 est.) |
