| People and Society | Cote d'Ivoire |
| --- | --- |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 14,000 French) (1998) |
| Languages: | French (official), 60 native dialects of which Dioula is the most widely spoken |
| Religions: | Muslim 38.6%, Christian 32.8%, indigenous 11.9%, none 16.7% (2008 est.) |
| Religions: | note: the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%) |
| Population: | 22,400,835 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 38.9% (male 4,393,005/female 4,319,967) |
| Age structure: | 15-24 years: 21% (male 2,372,125/female 2,336,657) |
| Age structure: | 25-54 years: 32.5% (male 3,737,464/female 3,549,600) |
| Age structure: | 55-64 years: 4.4% (male 490,420/female 489,471) |
| Age structure: | 65 years and over: 3.2% (male 347,211/female 364,915) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 80.2 % |
| population pyramid: | youth dependency ratio: 74.5 % |
| population pyramid: | elderly dependency ratio: 5.7 % |
| population pyramid: | potential support ratio: 17.5 (2013) |
| Median age: | total: 20 years |
| Median age: | male: 20.1 years |
| Median age: | female: 19.9 years (2013 est.) |
| Population growth rate: | 2% (2013 est.) |
| Birth rate: | 29.83 births/1,000 population (2013 est.) |
| Death rate: | 9.8 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 51.3% of total population (2011) |
| Urbanization: | rate of urbanization: 3.56% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ABIDJAN (seat of government) 4.288 million; YAMOUSSOUKRO (capital) 966,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.8 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2011-12 est.) |
| Maternal mortality rate: | 400 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 61.66 deaths/1,000 live births |
| Infant mortality rate: | male: 68.06 deaths/1,000 live births |
| Infant mortality rate: | female: 55.06 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 57.66 years |
| Life expectancy at birth: | male: 56.57 years |
| Life expectancy at birth: | female: 58.78 years (2013 est.) |
| Total fertility rate: | 3.73 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 18.2% (2012) |
| Health expenditures: | 6.8% of GDP (2011) |
| Physicians density: | 0.14 physicians/1,000 population (2008) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 68% of population |
| Drinking water source: | total: 80% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 32% of population |
| unimproved: | total: 20% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 36% of population |
| Sanitation facility access: | rural: 11% of population |
| Sanitation facility access: | total: 24% of population |
| unimproved: | urban: 64% of population |
| unimproved: | rural: 89% of population |
| unimproved: | total: 76% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 3.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 450,000 (2009 est.) |
| HIV/AIDS - deaths: | 36,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 6.2% (2008) |
| Children under the age of 5 years underweight: | 29.4% (2007) |
| Education expenditures: | 4.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 56.9% |
| Literacy: | male: 65.6% |
| Literacy: | female: 47.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2000) |
| Child labor - children ages 5-14: | total number: 1,796,802 |
| Child labor - children ages 5-14: | percentage: 35 % (2006 est.) |
