| People | United Arab Emirates |
| --- | --- |
| Population: | 4,444,011 |
| Population: | note: estimate is based on the results of the 2005 census that included a significantly higher estimate of net inmigration of non-citizens than previous estimates (July 2007 est.) |
| Age structure: | 0-14 years: 20.6% (male 467,931/female 447,045) |
| Age structure: | 15-64 years: 78.5% (male 2,558,029/female 932,617) |
| Age structure: | 65 years and over: 0.9% (male 24,914/female 13,475) |
| Age structure: | note: 73.9% of the population in the 15-64 age group is non-national (2007 est.) |
| Median age: | total: 30.1 years |
| Median age: | male: 32 years |
| Median age: | female: 24.5 years (2007 est.) |
| Population growth rate: | 3.997% (2007 est.) |
| Birth rate: | 16.09 births/1,000 population (2007 est.) |
| Death rate: | 2.16 deaths/1,000 population (2007 est.) |
| Net migration rate: | 26.04 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.047 male(s)/female |
| Sex ratio: | 15-64 years: 2.743 male(s)/female |
| Sex ratio: | 65 years and over: 1.849 male(s)/female |
| Sex ratio: | total population: 2.19 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 13.52 deaths/1,000 live births |
| Infant mortality rate: | male: 15.77 deaths/1,000 live births |
| Infant mortality rate: | female: 11.15 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 75.69 years |
| Life expectancy at birth: | male: 73.16 years |
| Life expectancy at birth: | female: 78.35 years (2007 est.) |
| Total fertility rate: | 2.43 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 0.18% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Nationality: | noun: Emirati(s) |
| Nationality: | adjective: Emirati |
| Ethnic groups: | Emirati 19%, other Arab and Iranian 23%, South Asian 50%, other expatriates (includes Westerners and East Asians) 8% (1982) |
| Ethnic groups: | note: less than 20% are UAE citizens (1982) |
| Religions: | Muslim 96% (Shi'a 16%), other (includes Christian, Hindu) 4% |
| Languages: | Arabic (official), Persian, English, Hindi, Urdu |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 77.9% |
| Literacy: | male: 76.1% |
| Literacy: | female: 81.7% (2003 est.) |
