| People and Society | United Arab Emirates |
| --- | --- |
| Nationality: | noun: Emirati(s) |
| Nationality: | adjective: Emirati |
| Ethnic groups: | Emirati 19%, other Arab and Iranian 23%, South Asian 50%, other expatriates (includes Westerners and East Asians) 8% (1982) |
| Ethnic groups: | note: less than 20% are UAE citizens (1982) |
| Languages: | Arabic (official), Persian, English, Hindi, Urdu |
| Religions: | Muslim (Islam - official) 96% (Shia 16%), other (includes Christian, Hindu) 4% |
| Population: | 5,473,972 (July 2013 est.) |
| Population: | note: estimate is based on the results of the 2005 census that included a significantly higher estimate of net immigration of non-citizens than previous estimates |
| Age structure: | 0-14 years: 20.6% (male 577,599/female 551,346) |
| Age structure: | 15-24 years: 13.8% (male 449,258/female 306,410) |
| Age structure: | 25-54 years: 61.5% (male 2,570,054/female 798,070) |
| Age structure: | 55-64 years: 3.1% (male 127,569/female 40,996) |
| Age structure: | 65 years and over: 1% (male 33,481/female 19,189) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 18.6 % |
| population pyramid: | youth dependency ratio: 18.1 % |
| population pyramid: | elderly dependency ratio: 0.5 % |
| population pyramid: | potential support ratio: 201.7 (2013) |
| Median age: | total: 30.3 years |
| Median age: | male: 32 years |
| Median age: | female: 25 years (2013 est.) |
| Population growth rate: | 2.87% (2013 est.) |
| Birth rate: | 15.65 births/1,000 population (2013 est.) |
| Death rate: | 2.01 deaths/1,000 population (2013 est.) |
| Net migration rate: | 15.04 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 84.4% of total population (2011) |
| Urbanization: | rate of urbanization: 2.52% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ABU DHABI (capital) 666,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.46 male(s)/female |
| Sex ratio: | 25-54 years: 3.23 male(s)/female |
| Sex ratio: | 55-64 years: 3.19 male(s)/female |
| Sex ratio: | 65 years and over: 1.77 male(s)/female |
| Sex ratio: | total population: 2.19 male(s)/female (2013 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 11.25 deaths/1,000 live births |
| Infant mortality rate: | male: 13.12 deaths/1,000 live births |
| Infant mortality rate: | female: 9.28 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 76.91 years |
| Life expectancy at birth: | male: 74.31 years |
| Life expectancy at birth: | female: 79.63 years (2013 est.) |
| Total fertility rate: | 2.37 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 27.5% (1995) |
| Health expenditures: | 3.3% of GDP (2011) |
| Physicians density: | 1.93 physicians/1,000 population (2007) |
| Hospital bed density: | 1.9 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 95% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 2% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 32.7% (2008) |
| Education expenditures: | 1.1% of GDP (2004) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90% |
| Literacy: | male: 89.5% |
| Literacy: | female: 91.5% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Unemployment, youth ages 15-24: | total: 12.1% |
| Unemployment, youth ages 15-24: | male: 7.9% |
| Unemployment, youth ages 15-24: | female: 21.8% (2008) |
