| People and Society | United Arab Emirates |
| --- | --- |
| Population: | 9,992,083 (July 2020 est.) |
| Population: | note: the UN estimated the country's total population was 9,771,000 as of mid-year 2019; immigrants make up 87.9% of the total population, according to UN data (2019) |
| Nationality: | noun: Emirati(s) |
| Nationality: | adjective: Emirati |
| Ethnic groups: | Emirati 11.6%, South Asian 59.4% (includes Indian 38.2%, Bangladeshi 9.5%, Pakistani 9.4%, other 2.3%), Egyptian 10.2%, Filipino 6.1%, other 12.8% (2015 est.) |
| Languages: | Arabic (official), English, Hindi, Malayam, Urdu, Pashto, Tagalog, Persian |
| Religions: | Muslim (official) 76%, Christian 9%, other (primarily Hindu and Buddhist, less than 5% of the population consists of Parsi, Baha'i, Druze, Sikh, Ahmadi, Ismaili, Dawoodi Bohra Muslim, and Jewish) 15% (2005 est.) |
| Religions: | note: data represent the total population; as of 2019,Â immigrants make up aboutÂ 87.9% of the total population, according to UN data |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 14.45% (male 745,492/female 698,330) |
| Age structure: | 15-24 years: 7.94% (male 431,751/female 361,804) |
| Age structure: | 25-54 years: 68.03% (male 5,204,618/female 1,592,987) |
| Age structure: | 55-64 years: 7.68% (male 658,892/female 108,850) |
| Age structure: | 65 years and over: 1.9% (male 146,221/female 43,138) (2020 est.) |
| Dependency ratios: | total dependency ratio: 19.2 |
| Dependency ratios: | youth dependency ratio: 17.7 |
| Dependency ratios: | elderly dependency ratio: 1.5 |
| Dependency ratios: | potential support ratio: 66.4 (2020 est.) |
| Median age: | total: 38.4 years |
| Median age: | male: 40.4 years |
| Median age: | female: 31.5 years (2020 est.) |
| Population growth rate: | 1.49% (2020 est.) |
| Birth rate: | 9.5 births/1,000 population (2020 est.) |
| Death rate: | 2 deaths/1,000 population (2020 est.) |
| Net migration rate: | 7.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population is heavily concentrated to the northeast on the Musandam Peninsula; the three largest emirates - Abu Dhabi, Dubai, and Sharjah - are home to nearly 85% of the population |
| Urbanization: | urban population: 87% of total population (2020) |
| Urbanization: | rate of urbanization: 1.71% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.878 million Dubai, 1.685 million Sharjah, 1.483 million ABU DHABI (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.19 male(s)/female |
| Sex ratio: | 25-54 years: 3.27 male(s)/female |
| Sex ratio: | 55-64 years: 6.05 male(s)/female |
| Sex ratio: | 65 years and over: 3.39 male(s)/female |
| Sex ratio: | total population: 2.56 male(s)/female (2020 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 5.3 deaths/1,000 live births |
| Infant mortality rate: | male: 5.8 deaths/1,000 live births |
| Infant mortality rate: | female: 4.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 79 years |
| Life expectancy at birth: | male: 77.6 years |
| Life expectancy at birth: | female: 80.5 years (2020 est.) |
| Total fertility rate: | 1.73 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Current Health Expenditure: | 3.3% (2017) |
| Physicians density: | 2.44 physicians/1,000 population (2017) |
| Hospital bed density: | 1.4 beds/1,000 population (2017) |
| Sanitation facility access: | improved: total: 98.6% of population |
| Sanitation facility access: | unimproved: total: 1.4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 31.7% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.8% |
| Literacy: | male: 93.1% |
| Literacy: | female: 95.8% (2015) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2017) |
| Unemployment, youth ages 15-24: | total: 6.9% |
| Unemployment, youth ages 15-24: | male: 5% |
| Unemployment, youth ages 15-24: | female: 12.8% (2018 est.) |
