| People | Sudan |
| --- | --- |
| Population: | 41,236,378 (July 2006 est.) |
| Age structure: | 0-14 years: 42.7% (male 8,993,483/female 8,614,022) |
| Age structure: | 15-64 years: 54.9% (male 11,327,679/female 11,297,798) |
| Age structure: | 65 years and over: 2.4% (male 536,754/female 466,642) (2006 est.) |
| Median age: | total: 18.3 years |
| Median age: | male: 18.1 years |
| Median age: | female: 18.5 years (2006 est.) |
| Population growth rate: | 2.55% (2006 est.) |
| Birth rate: | 34.53 births/1,000 population (2006 est.) |
| Death rate: | 8.97 deaths/1,000 population (2006 est.) |
| Net migration rate: | -0.02 migrant(s)/1,000 population (2006 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 1.15 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2006 est.) |
| Infant mortality rate: | total: 61.05 deaths/1,000 live births |
| Infant mortality rate: | male: 61.88 deaths/1,000 live births |
| Infant mortality rate: | female: 60.18 deaths/1,000 live births (2006 est.) |
| Life expectancy at birth: | total population: 58.92 years |
| Life expectancy at birth: | male: 57.69 years |
| Life expectancy at birth: | female: 60.21 years (2006 est.) |
| Total fertility rate: | 4.72 children born/woman (2006 est.) |
| HIV/AIDS - adult prevalence rate: | 2.3% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 400,000 (2001 est.) |
| HIV/AIDS - deaths: | 23,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, African trypanosomiasis (sleeping sickness) are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2005) |
| Nationality: | noun: Sudanese (singular and plural) |
| Nationality: | adjective: Sudanese |
| Ethnic groups: | black 52%, Arab 39%, Beja 6%, foreigners 2%, other 1% |
| Religions: | Sunni Muslim 70% (in north), indigenous beliefs 25%, Christian 5% (mostly in south and Khartoum) |
| Languages: | Arabic (official), Nubian, Ta Bedawie, diverse dialects of Nilotic, Nilo-Hamitic, Sudanic languages, English |
| Languages: | note: program of "Arabization" in process |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.1% |
| Literacy: | male: 71.8% |
| Literacy: | female: 50.5% (2003 est.) |
