| People and Society | GEORGIA |
| --- | --- |
| Population: | 4,928,052 (July 2016 est.) |
| Nationality: | noun: Georgian(s) |
| Nationality: | adjective: Georgian |
| Ethnic groups: | Georgian 86.8%, Azeri 6.3%, Armenian 4.5%, other 2.3% (2014 est.) |
| Languages: | Georgian (official) 87.6%, Azeri 6.2%, Armenian 3.9%, Russian 1.2%, other 1% |
| Languages: | note: Abkhaz is the official language in Abkhazia (2014 est.) |
| Religions: | Orthodox (official) 83.4%, Muslim 10.7%, Armenian Apostolic 2.9%, other 1.2% (includes Catholic, Jehovah's Witness, Yazidi, Protestant, Jewish), none 0.5%, unspecified/no answer 1.2% (2014 est.) |
| Age structure: | 0-14 years: 17.91% (male 463,526/female 419,334) |
| Age structure: | 15-24 years: 12.61% (male 326,675/female 294,912) |
| Age structure: | 25-54 years: 40.93% (male 980,024/female 1,037,044) |
| Age structure: | 55-64 years: 12.77% (male 282,067/female 347,287) |
| Age structure: | 65 years and over: 15.77% (male 304,668/female 472,515) (2016 est.) |
| Dependency ratios: | total dependency ratio: 45.7% |
| Dependency ratios: | youth dependency ratio: 25.2% |
| Dependency ratios: | elderly dependency ratio: 20.4% |
| Dependency ratios: | potential support ratio: 4.9% (2015 est.) |
| Median age: | total: 38 years |
| Median age: | male: 35.1 years |
| Median age: | female: 40.7 years (2016 est.) |
| Population growth rate: | -0.05% (2016 est.) |
| Birth rate: | 12.5 births/1,000 population (2016 est.) |
| Death rate: | 10.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | -2.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | settlement coincides closely to the central valley, with emphasis on the capital city of Tbilisi in the east; smaller urban agglomerations dot the Black Sea coast, with Bat'umi being the largest |
| Urbanization: | urban population: 53.6% of total population (2015) |
| Urbanization: | rate of urbanization: -0.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TBILISI (capital) 1.147 million (2015) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.11 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24.4 |
| Mother's mean age at first birth: | note: data do not cover Abkhazia and South Ossetia (2013 est.) |
| Maternal mortality rate: | 36 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 15.6 deaths/1,000 live births |
| Infant mortality rate: | male: 17.8 deaths/1,000 live births |
| Infant mortality rate: | female: 13.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 76.2 years |
| Life expectancy at birth: | male: 72.1 years |
| Life expectancy at birth: | female: 80.6 years (2016 est.) |
| Total fertility rate: | 1.76 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 53.4% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2010) |
| Health expenditures: | 7.4% of GDP (2014) |
| Physicians density: | 4.27 physicians/1,000 population (2013) |
| Hospital bed density: | 2.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.2% of population |
| Sanitation facility access: | rural: 75.9% of population |
| Sanitation facility access: | total: 86.3% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 24.1% of population |
| unimproved: | total: 13.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.39% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,600 (2015 est.) |
| HIV/AIDS - deaths: | 200 (2015 est.) |
| Obesity - adult prevalence rate: | 22.1% (2014) |
| Children under the age of 5 years underweight: | 1.1% (2009) |
| Education expenditures: | 2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Child labor - children ages 5-14: | total number: 121,659 |
| Child labor - children ages 5-14: | percentage: 18% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 35.6% |
| Unemployment, youth ages 15-24: | male: 35.3% |
| Unemployment, youth ages 15-24: | female: 36.4% (2013 est.) |
