| People and Society | Swaziland |
| --- | --- |
| Nationality: | noun: Swazi(s) |
| Nationality: | adjective: Swazi |
| Ethnic groups: | African 97%, European 3% |
| Languages: | English (official, used for government business), siSwati (official) |
| Religions: | Zionist 40% (a blend of Christianity and indigenous ancestral worship), Roman Catholic 20%, Muslim 10%, other (includes Anglican, Baha'i, Methodist, Mormon, Jewish) 30% |
| Population: | 1,370,424 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 37.8% (male 261,762/female 255,828) |
| Age structure: | 15-64 years: 58.6% (male 399,746/female 403,681) |
| Age structure: | 65 years and over: 3.6% (male 20,472/female 28,935) (2011 est.) |
| Median age: | total: 20.3 years |
| Median age: | male: 19.9 years |
| Median age: | female: 20.7 years (2011 est.) |
| Population growth rate: | 1.204% (2011 est.) |
| Birth rate: | 26.63 births/1,000 population (2011 est.) |
| Death rate: | 14.6 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 21% of total population (2010) |
| Urbanization: | rate of urbanization: 1.5% annual rate of change (2010-15 est.) |
| Major cities - population: | MBABANE (capital) 74,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 420 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 63.09 deaths/1,000 live births |
| Infant mortality rate: | male: 67.14 deaths/1,000 live births |
| Infant mortality rate: | female: 58.93 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 48.66 years |
| Life expectancy at birth: | male: 48.93 years |
| Life expectancy at birth: | female: 48.39 years (2011 est.) |
| Total fertility rate: | 3.11 children born/woman (2011 est.) |
| Health expenditures: | 6.3% of GDP (2009) |
| Physicians density: | 0.16 physicians/1,000 population (2004) |
| Hospital bed density: | 2.1 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92% of population |
| Drinking water source: | rural: 61% of population |
| Drinking water source: | total: 69% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 39% of population |
| unimproved: | total: 31% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 61% of population |
| Sanitation facility access: | rural: 53% of population |
| Sanitation facility access: | total: 55% of population |
| unimproved: | urban: 39% of population |
| unimproved: | rural: 47% of population |
| unimproved: | total: 45% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 25.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 180,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Children under the age of 5 years underweight: | 6.1% (2007) |
| Education expenditures: | 7.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.6% |
| Literacy: | male: 82.6% |
| Literacy: | female: 80.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2007) |
