| People and Society | Eswatini |
| --- | --- |
| Population: | 1,104,479 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: liSwati (singular), emaSwati (plural); note - former term, Swazi(s), still used among English speakers |
| Nationality: | adjective: Swati; note - former term, Swazi, still used among English speakers |
| Ethnic groups: | predominantly Swazi; smaller populations of other African ethnic groups, including the Zulu, as well as people of European ancestry |
| Languages: | English (official, used for government business), siSwati (official) |
| Religions: | Christian 90% (Zionist - a blend of Christianity and indigenous ancestral worship - 40%, Roman Catholic 20%, other 30% - includes Anglican, Methodist, Mormon, Jehovah's Witness), Muslim 2%, other 8% (includes Baha'i, Buddhist, Hindu, indigenous, Jewish) (2015 est.) |
| Demographic profile: | Eswatini, a small, predominantly rural, landlocked country surrounded by South Africa and Mozambique, suffers from severe poverty and the worldâ€™s highest HIV/AIDS prevalence rate. A weak and deteriorating economy, high unemployment, rapid population growth, and an uneven distribution of resources all combine to worsen already persistent poverty and food insecurity, especially in rural areas. Erratic weather (frequent droughts and intermittent heavy rains and flooding), overuse of small plots, the overgrazing of cattle, and outdated agricultural practices reduce crop yields and further degrade the environment, exacerbating Eswatini's poverty and subsistence problems. Eswatini's extremely high HIV/AIDS prevalence rate â€“ more than 28% of adults have the disease â€“ compounds these issues. Agricultural production has declined due to HIV/AIDS, as the illness causes households to lose manpower and to sell livestock and other assets to pay for medicine and funerals. |
| Demographic profile: | Swazis, mainly men from the countryâ€™s rural south, have been migrating to South Africa to work in coal, and later gold, mines since the late 19th century. Although the number of miners abroad has never been high in absolute terms because of Eswatini's small population, the outflow has had important social and economic repercussions. The peak of mining employment in South Africa occurred during the 1980s. Cross-border movement has accelerated since the 1990s, as increasing unemployment has pushed more Swazis to look for work in South Africa (creating a "brain drain" in the health and educational sectors); southern Swazi men have continued to pursue mining, although the industry has downsized. Women now make up an increasing share of migrants and dominate cross-border trading in handicrafts, using the proceeds to purchase goods back in Eswatini. Much of todayâ€™s migration, however, is not work-related but focuses on visits to family and friends, tourism, and shopping. |
| Age structure: | 0-14 years: 33.63% (male 185,640/female 185,808) |
| Age structure: | 15-24 years: 18.71% (male 98,029/female 108,654) |
| Age structure: | 25-54 years: 39.46% (male 202,536/female 233,275) |
| Age structure: | 55-64 years: 4.36% (male 20,529/female 27,672) |
| Age structure: | 65 years and over: 3.83% (male 15,833/female 26,503) (2020 est.) |
| Dependency ratios: | total dependency ratio: 70.8 |
| Dependency ratios: | youth dependency ratio: 64 |
| Dependency ratios: | elderly dependency ratio: 6.9 |
| Dependency ratios: | potential support ratio: 14.6 (2020 est.) |
| Median age: | total: 23.7 years |
| Median age: | male: 22.5 years |
| Median age: | female: 24.7 years (2020 est.) |
| Population growth rate: | 0.77% (2020 est.) |
| Birth rate: | 24.5 births/1,000 population (2020 est.) |
| Death rate: | 10.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -6.8 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | because of its mountainous terrain, the population distribution is uneven throughout the country, concentrating primarily in valleys and plains as shown in this population distribution map |
| Urbanization: | urban population: 24.2% of total population (2020) |
| Urbanization: | rate of urbanization: 2.46% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 68,000 MBABANE (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.9 male(s)/female |
| Sex ratio: | 25-54 years: 0.87 male(s)/female |
| Sex ratio: | 55-64 years: 0.74 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
