| People and Society | SWAZILAND |
| --- | --- |
| Population: | 1,467,152 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Swazi(s) |
| Nationality: | adjective: Swazi |
| Ethnic groups: | African 97%, European 3% |
| Languages: | English (official, used for government business), siSwati (official) |
| Religions: | Christian 90% (Zionist - a blend of Christianity and indigenous ancestral worship - 40%, Roman Catholic 20%, other 30% - includes Anglican, Methodist, Mormon, Jehovah's Witness), Muslim 2%, other 8% (includes Baha'i, Buddhist, Hindu, indigenous religionist, Jewish) (2015 est.) |
| Demographic profile: | Swaziland, a small, predominantly rural, landlocked country surrounded by South Africa and Mozambique, suffers from severe poverty and the world’s highest HIV/AIDS prevalence rate. A weak and deteriorating economy, high unemployment, rapid population growth, and an uneven distribution of resources all combine to worsen already persistent poverty and food insecurity, especially in rural areas. Erratic weather (frequent droughts and intermittent heavy rains and flooding), overuse of small plots, the overgrazing of cattle, and outdated agricultural practices reduce crop yields and further degrade the environment, exacerbating Swaziland’s poverty and subsistence problems. Swaziland’s extremely high HIV/AIDS prevalence rate – more than 28% of adults have the disease – compounds these issues. Agricultural production has declined due to HIV/AIDS, as the illness causes households to lose manpower and to sell livestock and other assets to pay for medicine and funerals. |
| Demographic profile: | Swazis, mainly men from the country’s rural south, have been migrating to South Africa to work in coal, and later gold, mines since the late 19th century. Although the number of miners abroad has never been high in absolute terms because of Swaziland’s small population, the outflow has had important social and economic repercussions. The peak of mining employment in South Africa occurred during the 1980s. Cross-border movement has accelerated since the 1990s, as increasing unemployment has pushed more Swazis to look for work in South Africa (creating a “brain drain” in the health and educational sectors); southern Swazi men have continued to pursue mining, although the industry has downsized. Women now make up an increasing share of migrants and dominate cross-border trading in handicrafts, using the proceeds to purchase goods back in Swaziland. Much of today’s migration, however, is not work-related but focuses on visits to family and friends, tourism, and shopping. |
| Age structure: | 0-14 years: 35.01% (male 259,646/female 253,976) |
| Age structure: | 15-24 years: 22.12% (male 164,117/female 160,478) |
| Age structure: | 25-54 years: 34.6% (male 264,262/female 243,362) |
| Age structure: | 55-64 years: 4.3% (male 25,319/female 37,763) |
| Age structure: | 65 years and over: 3.97% (male 22,113/female 36,116) (2017 est.) |
| Dependency ratios: | total dependency ratio: 68.8 |
| Dependency ratios: | youth dependency ratio: 63.5 |
| Dependency ratios: | elderly dependency ratio: 5.2 |
| Dependency ratios: | potential support ratio: 19.1 (2015 est.) |
| Median age: | total: 21.7 years |
| Median age: | male: 21.5 years |
| Median age: | female: 21.9 years (2017 est.) |
| Population growth rate: | 1.08% (2017 est.) |
| Birth rate: | 24 births/1,000 population (2017 est.) |
| Death rate: | 13.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
