| People and Society | Swaziland |
| --- | --- |
| Nationality: | noun: Swazi(s) |
| Nationality: | adjective: Swazi |
| Ethnic groups: | African 97%, European 3% |
| Languages: | English (official, used for government business), siSwati (official) |
| Religions: | Zionist 40% (a blend of Christianity and indigenous ancestral worship), Roman Catholic 20%, Muslim 10%, other (includes Anglican, Baha'i, Methodist, Mormon, Jewish) 30% |
| Population: | 1,403,362 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 36.9% (male 261,954/female 256,144) |
| Age structure: | 15-24 years: 22.4% (male 158,947/female 155,421) |
| Age structure: | 25-54 years: 32.7% (male 234,805/female 224,703) |
| Age structure: | 55-64 years: 4.2% (male 23,287/female 35,900) |
| Age structure: | 65 years and over: 3.7% (male 21,042/female 31,159) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 70.4 % |
| population pyramid: | youth dependency ratio: 64.4 % |
| population pyramid: | elderly dependency ratio: 5.9 % |
| population pyramid: | potential support ratio: 16.8 (2013) |
| Median age: | total: 20.7 years |
| Median age: | male: 20.4 years |
| Median age: | female: 21.1 years (2013 est.) |
| Population growth rate: | 1.17% (2013 est.) |
| Birth rate: | 25.68 births/1,000 population (2013 est.) |
| Death rate: | 13.95 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 21.2% of total population (2011) |
| Urbanization: | rate of urbanization: 1.19% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MBABANE (capital) 74,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.65 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.5 (2007 est.) |
| Maternal mortality rate: | 320 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 57.19 deaths/1,000 live births |
| Infant mortality rate: | male: 61.21 deaths/1,000 live births |
| Infant mortality rate: | female: 53.04 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 50.01 years |
| Life expectancy at birth: | male: 50.44 years |
| Life expectancy at birth: | female: 49.56 years (2013 est.) |
| Total fertility rate: | 2.96 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 65.2% (2010) |
| Health expenditures: | 8% of GDP (2011) |
| Physicians density: | 0.17 physicians/1,000 population (2009) |
| Hospital bed density: | 2.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 65% of population |
| Drinking water source: | total: 71% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 35% of population |
| unimproved: | total: 29% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 64% of population |
| Sanitation facility access: | rural: 55% of population |
| Sanitation facility access: | total: 57% of population |
| unimproved: | urban: 36% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 43% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 25.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 180,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,000 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2013) |
| Obesity - adult prevalence rate: | 19.7% (2008) |
| Children under the age of 5 years underweight: | 6.1% (2007) |
| Education expenditures: | 8.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 87.8% |
| Literacy: | male: 88.4% |
| Literacy: | female: 87.3% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Child labor - children ages 5-14: | total number: 28,043 |
| Child labor - children ages 5-14: | percentage: 9 % (2000 est.) |
