| People and Society | Latvia |
| --- | --- |
| Population: | 1,881,232 (July 2020 est.) |
| Nationality: | noun: Latvian(s) |
| Nationality: | adjective: Latvian |
| Ethnic groups: | Latvian 62.2%, Russian 25.2%, Belarusian 3.2%, Ukrainian 2.2%, Polish 2.1%, Lithuanian 1.2%, other 1.5%, unspecified 2.3% (2018 est.) |
| Languages: | Latvian (official) 56.3%, Russian 33.8%, other 0.6% (includes Polish, Ukrainian, and Belarusian), unspecified 9.4% (2011 est.) |
| Languages: | note: data represent language usually spoken at home |
| Religions: | Lutheran 36.2%, Roman Catholic 19.5%, Orthodox 19.1%, other Christian 1.6%, other 0.1%, unspecified/none 23.5% (2017 est.) |
| Age structure: | 0-14 years: 15.32% (male 148,120/female 140,028) |
| Age structure: | 15-24 years: 9% (male 87,372/female 81,965) |
| Age structure: | 25-54 years: 40.41% (male 380,817/female 379,359) |
| Age structure: | 55-64 years: 14.77% (male 125,401/female 152,548) |
| Age structure: | 65 years and over: 20.5% (male 128,151/female 257,471) (2020 est.) |
| Dependency ratios: | total dependency ratio: 59 |
| Dependency ratios: | youth dependency ratio: 26.1 |
| Dependency ratios: | elderly dependency ratio: 32.9 |
| Dependency ratios: | potential support ratio: 3 (2020 est.) |
| Median age: | total: 44.4 years |
| Median age: | male: 40.5 years |
| Median age: | female: 48 years (2020 est.) |
| Population growth rate: | -1.12% (2020 est.) |
| Birth rate: | 9.2 births/1,000 population (2020 est.) |
| Death rate: | 14.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -5.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | largest concentration of people is found in and around the port and capital city of Riga; small agglomerations are scattered throughout the country |
| Urbanization: | urban population: 68.3% of total population (2020) |
| Urbanization: | rate of urbanization: -0.93% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 631,000 RIGA (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.5 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 27.6 years (2017 est.) |
| Maternal mortality rate: | 19 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 5 deaths/1,000 live births |
| Infant mortality rate: | male: 5.4 deaths/1,000 live births |
| Infant mortality rate: | female: 4.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 75.4 years |
| Life expectancy at birth: | male: 70.9 years |
| Life expectancy at birth: | female: 80.1 years (2020 est.) |
| Total fertility rate: | 1.53 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 98.8% of population |
| Drinking water source: | rural: 98.2% of population |
| Drinking water source: | total: 98.6% of population |
| Drinking water source: | unimproved: urban: 1.2% of population |
| Drinking water source: | rural: 1.8% of population |
| Drinking water source: | total: 1.4% of population (2017 est.) |
| Current Health Expenditure: | 6% (2017) |
| Physicians density: | 3.19 physicians/1,000 population (2017) |
| Hospital bed density: | 5.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.9% of population |
| Sanitation facility access: | rural: 84.6% of population |
| Sanitation facility access: | total: 94.3% of population |
| Sanitation facility access: | unimproved: urban: 1.1% of population |
| Sanitation facility access: | rural: 15.4% of population |
| Sanitation facility access: | total: 5.7% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5,600 (2019 est.) |
| HIV/AIDS - deaths: | <100 (2019 est.) |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis |
| Obesity - adult prevalence rate: | 23.6% (2016) |
| Education expenditures: | 4.4% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.9% |
| Literacy: | male: 99.9% |
| Literacy: | female: 99.9% (2015) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2018) |
| Unemployment, youth ages 15-24: | total: 12.2% |
| Unemployment, youth ages 15-24: | male: 12.5% |
| Unemployment, youth ages 15-24: | female: 11.8% (2018 est.) |
