| People and Society | El Salvador |
| --- | --- |
| Nationality: | noun: Salvadoran(s) |
| Nationality: | adjective: Salvadoran |
| Ethnic groups: | mestizo 90%, white 9%, Amerindian 1% |
| Languages: | Spanish (official), Nahua (among some Amerindians) |
| Religions: | Roman Catholic 57.1%, Protestant 21.2%, Jehovah's Witnesses 1.9%, Mormon 0.7%, other religions 2.3%, none 16.8% (2003 est.) |
| Population: | 6,071,774 (July 2011 est.) |
| Age structure: | 0-14 years: 30.6% (male 953,842/female 905,688) |
| Age structure: | 15-64 years: 63% (male 1,802,113/female 2,021,191) |
| Age structure: | 65 years and over: 6.4% (male 173,363/female 215,577) (2011 est.) |
| Median age: | total: 24.3 years |
| Median age: | male: 22.9 years |
| Median age: | female: 25.7 years (2011 est.) |
| Population growth rate: | 0.318% (2011 est.) |
| Birth rate: | 17.75 births/1,000 population (2011 est.) |
| Death rate: | 5.62 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -8.95 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 64% of total population (2010) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Major cities - population: | SAN SALVADOR (capital) 1.534 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Maternal mortality rate: | 110 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 20.3 deaths/1,000 live births |
| Infant mortality rate: | male: 22.36 deaths/1,000 live births |
| Infant mortality rate: | female: 18.15 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 73.44 years |
| Life expectancy at birth: | male: 70.16 years |
| Life expectancy at birth: | female: 76.87 years (2011 est.) |
| Total fertility rate: | 2.08 children born/woman (2011 est.) |
| Health expenditures: | 3.9% of GDP (2009) |
| Physicians density: | 1.596 physicians/1,000 population (2008) |
| Hospital bed density: | 1.1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94% of population |
| Drinking water source: | rural: 76% of population |
| Drinking water source: | total: 87% of population |
| unimproved: | urban: 6% of population |
| unimproved: | rural: 24% of population |
| unimproved: | total: 13% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89% of population |
| Sanitation facility access: | rural: 83% of population |
| Sanitation facility access: | total: 87% of population |
| unimproved: | urban: 89% of population |
| unimproved: | rural: 83% of population |
| unimproved: | total: 87% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 34,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,400 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 6.1% (2003) |
| Education expenditures: | 3.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.1% |
| Literacy: | male: 82.8% |
| Literacy: | female: 79.6% (2007 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 11.4% |
| Unemployment, youth ages 15-24: | male: 13% |
| Unemployment, youth ages 15-24: | female: 8.3% (2007) |
