| People and Society | EL SALVADOR |
| --- | --- |
| Population: | 6,156,670 (July 2016 est.) |
| Nationality: | noun: Salvadoran(s) |
| Nationality: | adjective: Salvadoran |
| Ethnic groups: | mestizo 86.3%, white 12.7%, Amerindian 0.2% (includes Lenca, Kakawira, Nahua-Pipil), black 0.1%, other 0.6% (2007 est.) |
| Languages: | Spanish (official), Nawat (among some Amerindians) |
| Religions: | Roman Catholic 57.1%, Protestant 21.2%, Jehovah's Witnesses 1.9%, Mormon 0.7%, other religions 2.3%, none 16.8% (2003 est.) |
| Demographic profile: | El Salvador is the smallest and most densely populated country in Central America. It is well into its demographic transition, experiencing slower population growth, a decline in its number of youths, and the gradual aging of its population. The increased use of family planning has substantially lowered El Salvador's fertility rate, from approximately 6 children per woman in the 1970s to replacement level today. A 2008 national family planning survey showed that female sterilization remained the most common contraception method in El Salvador - its sterilization rate is among the highest in Latin America and the Caribbean - but that the use of injectable contraceptives is growing. Fertility differences between rich and poor and urban and rural women are narrowing. |
| Demographic profile: | Salvadorans fled during the 1979 to 1992 civil war mainly to the United States but also to Canada and to neighboring Mexico, Guatemala, Honduras, Nicaragua, and Costa Rica. Emigration to the United States increased again in the 1990s and 2000s as a result of deteriorating economic conditions, natural disasters (Hurricane Mitch in 1998 and earthquakes in 2001), and family reunification. At least 20% of El Salvador's population lives abroad. The remittances they send home account for close to 20% of GDP, are the second largest source of external income after exports, and have helped reduce poverty. |
| Age structure: | 0-14 years: 26.58% (male 839,392/female 797,323) |
| Age structure: | 15-24 years: 20.51% (male 635,100/female 627,648) |
| Age structure: | 25-54 years: 38.66% (male 1,098,619/female 1,281,822) |
| Age structure: | 55-64 years: 6.96% (male 190,386/female 238,206) |
| Age structure: | 65 years and over: 7.28% (male 197,945/female 250,229) (2016 est.) |
| Dependency ratios: | total dependency ratio: 54.3% |
| Dependency ratios: | youth dependency ratio: 41.7% |
| Dependency ratios: | elderly dependency ratio: 12.6% |
| Dependency ratios: | potential support ratio: 7.9% (2015 est.) |
| Median age: | total: 26.6 years |
| Median age: | male: 25.1 years |
| Median age: | female: 28.1 years (2016 est.) |
| Population growth rate: | 0.25% (2016 est.) |
| Birth rate: | 16.3 births/1,000 population (2016 est.) |
| Death rate: | 5.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | -8.1 migrant(s)/1,000 population (2016 est.) |
