| People and Society | MAURITIUS |
| --- | --- |
| Nationality: | noun: Mauritian(s) |
| Nationality: | adjective: Mauritian |
| Ethnic groups: | Indo-Mauritian 68%, Creole 27%, Sino-Mauritian 3%, Franco-Mauritian 2% |
| Languages: | Creole 86.5%, Bhojpuri 5.3%, French 4.1%, two languages 1.4%, other 2.6% (includes English, the official language, which is spoken by less than 1% of the population), unspecified 0.1% (2011 est.) |
| Religions: | Hindu 48.5%, Roman Catholic 26.3%, Muslim 17.3%, other Christian 6.4%, other 0.6%, none 0.7%, unspecified 0.1% (2011 est.) |
| Population: | 1,339,827 (July 2015 est.) |
| Age structure: | 0-14 years: 20.74% (male 141,928/female 135,918) |
| Age structure: | 15-24 years: 15.3% (male 103,549/female 101,469) |
| Age structure: | 25-54 years: 44% (male 294,700/female 294,863) |
| Age structure: | 55-64 years: 11.15% (male 70,810/female 78,599) |
| Age structure: | 65 years and over: 8.81% (male 47,900/female 70,091) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.6% |
| population pyramid: | youth dependency ratio: 27.2% |
| population pyramid: | elderly dependency ratio: 13.4% |
| population pyramid: | potential support ratio: 7.4% (2015 est.) |
| Median age: | total: 34.4 years |
| Median age: | male: 33.5 years |
| Median age: | female: 35.3 years (2015 est.) |
| Population growth rate: | 0.64% (2015 est.) |
| Birth rate: | 13.29 births/1,000 population (2015 est.) |
| Death rate: | 6.91 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 39.7% of total population (2015) |
| Urbanization: | rate of urbanization: -0.08% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT LOUIS (capital) 135,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 10.3 deaths/1,000 live births |
| Infant mortality rate: | male: 12.24 deaths/1,000 live births |
| Infant mortality rate: | female: 8.26 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.4 years |
| Life expectancy at birth: | male: 71.94 years |
| Life expectancy at birth: | female: 79.03 years (2015 est.) |
| Total fertility rate: | 1.76 children born/woman (2015 est.) |
| Health expenditures: | 4.8% of GDP (2013) |
| Physicians density: | 1.62 physicians/1,000 population (2013) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.8% of population |
| Drinking water source: | total: 99.9% of populationtotal: 99.9% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.9% of population |
| Sanitation facility access: | rural: 92.6% of population |
| Sanitation facility access: | total: 93.1% of population |
| unimproved: | urban: 6.1% of population |
| unimproved: | rural: 7.4% of population |
| unimproved: | total: 6.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.92% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,300 (2014 est.) |
| HIV/AIDS - deaths: | 500 (2014 est.) |
| Obesity - adult prevalence rate: | 18.8% (2014) |
| Education expenditures: | 3.7% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90.6% |
| Literacy: | male: 92.9% |
| Literacy: | female: 88.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2012) |
| Unemployment, youth ages 15-24: | total: 23.7% |
| Unemployment, youth ages 15-24: | male: 20.4% |
| Unemployment, youth ages 15-24: | female: 28.4% (2012 est.) |
