| People and Society | Mauritius |
| --- | --- |
| Population: | 1,364,283 (July 2018 est.) |
| Nationality: | noun: Mauritian(s) |
| Nationality: | adjective: Mauritian |
| Ethnic groups: | Indo-Mauritian (compose approximately two thirds of the total population), Creole, Sino-Mauritian, Franco-Mauritian |
| Ethnic groups: | note: Mauritius has not had a question on ethnicity on its national census since 1972 |
| Languages: | Creole 86.5%, Bhojpuri 5.3%, French 4.1%, two languages 1.4%, other 2.6% (includes English, the official language of the National Assembly, which is spoken by less than 1% of the population), unspecified 0.1% (2011 est.) |
| Religions: | Hindu 48.5%, Roman Catholic 26.3%, Muslim 17.3%, other Christian 6.4%, other 0.6%, none 0.7%, unspecified 0.1% (2011 est.) |
| Demographic profile: | Mauritius has transitioned from a country of high fertility and high mortality rates in the 1950s and mid-1960s to one with among the lowest population growth rates in the developing world today. After World War II, Mauritiusâ€™ population began to expand quickly due to increased fertility and a dramatic drop in mortality rates as a result of improved health care and the eradication of malaria. This period of heightened population growth â€“ reaching about 3% a year â€“ was followed by one of the worldâ€™s most rapid birth rate declines. |
| Demographic profile: | The total fertility rate fell from 6.2 children per women in 1963 to 3.2 in 1972 â€“ largely the result of improved educational attainment, especially among young women, accompanied by later marriage and the adoption of family planning methods. The family planning programsâ€™ success was due to support from the government and eventually the traditionally pronatalist religious communities, which both recognized that controlling population growth was necessary because of Mauritiusâ€™ small size and limited resources. Mauritiusâ€™ fertility rate has consistently been below replacement level since the late 1990s, a rate that is substantially lower than nearby countries in southern Africa. |
| Demographic profile: | With no indigenous population, Mauritiusâ€™ ethnic mix is a product of more than two centuries of European colonialism and continued international labor migration. Sugar production relied on slave labor mainly from Madagascar, Mozambique, and East Africa from the early 18th century until its abolition in 1835, when slaves were replaced with indentured Indians. Most of the influx of indentured labor â€“ peaking between the late 1830s and early 1860 â€“ settled permanently creating massive population growth of more than 7% a year and reshaping the islandâ€™s social and cultural composition. While Indians represented about 12% of Mauritiusâ€™ population in 1837, they and their descendants accounted for roughly two-thirds by the end of the 19th century. Most were Hindus, but the majority of the free Indian traders were Muslims. |
