| People | Zambia |
| --- | --- |
| Population: | 11,261,795 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 46.5% (male 2,626,911/female 2,609,857) |
| Age structure: | 15-64 years: 51.1% (male 2,848,402/female 2,904,376) |
| Age structure: | 65 years and over: 2.4% (male 118,043/female 154,206) (2005 est.) |
| Median age: | total: 16.46 years |
| Median age: | male: 16.26 years |
| Median age: | female: 16.67 years (2005 est.) |
| Population growth rate: | 2.12% (2005 est.) |
| Birth rate: | 41.38 births/1,000 population (2005 est.) |
| Death rate: | 20.23 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 88.29 deaths/1,000 live births |
| Infant mortality rate: | male: 95.63 deaths/1,000 live births |
| Infant mortality rate: | female: 80.72 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 39.7 years |
| Life expectancy at birth: | male: 39.43 years |
| Life expectancy at birth: | female: 39.98 years (2005 est.) |
| Total fertility rate: | 5.47 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 16.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 920,000 (2003 est.) |
| HIV/AIDS - deaths: | 89,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis (2004) |
| Nationality: | noun: Zambian(s) |
| Nationality: | adjective: Zambian |
| Ethnic groups: | African 98.7%, European 1.1%, other 0.2% |
| Religions: | Christian 50%-75%, Muslim and Hindu 24%-49%, indigenous beliefs 1% |
| Languages: | English (official), major vernaculars - Bemba, Kaonda, Lozi, Lunda, Luvale, Nyanja, Tonga, and about 70 other indigenous languages |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 80.6% |
| Literacy: | male: 86.8% |
| Literacy: | female: 74.8% (2003 est.) |
