| People and Society | Zambia |
| --- | --- |
| Population: | 17,426,623 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Zambian(s) |
| Nationality: | adjective: Zambian |
| Ethnic groups: | Bemba 21%, Tonga 13.6%, Chewa 7.4%, Lozi 5.7%, Nsenga 5.3%, Tumbuka 4.4%, Ngoni 4%, Lala 3.1%, Kaonde 2.9%, Namwanga 2.8%, Lunda (north Western) 2.6%, Mambwe 2.5%, Luvale 2.2%, Lamba 2.1%, Ushi 1.9%, Lenje 1.6%, Bisa 1.6%, Mbunda 1.2%, other 13.8%, unspecified 0.4% (2010 est.) |
| Languages: | Bemba 33.4%, Nyanja 14.7%, Tonga 11.4%, Lozi 5.5%, Chewa 4.5%, Nsenga 2.9%, Tumbuka 2.5%, Lunda (North Western) 1.9%, Kaonde 1.8%, Lala 1.8%, Lamba 1.8%, English (official) 1.7%, Luvale 1.5%, Mambwe 1.3%, Namwanga 1.2%, Lenje 1.1%, Bisa 1%, other 9.7%, unspecified 0.2% (2010 est.) |
| Languages: | note: Zambia is said to have over 70 languages, although many of these may be considered dialects; all of Zambia's major languages are members of the Bantu family; Chewa and Nyanja are mutually intelligible dialects |
| Religions: | Protestant 75.3%, Roman Catholic 20.2%, other 2.7% (includes Muslim Buddhist, Hindu, and Baha'i), none 1.8% (2010 est.) |
| Demographic profile: | Zambiaâ€™s poor, youthful population consists primarily of Bantu-speaking people representing nearly 70 different ethnicities. Zambiaâ€™s high fertility rate continues to drive rapid population growth, averaging almost 3 percent annually between 2000 and 2010. The countryâ€™s total fertility rate has fallen by less than 1.5 children per woman during the last 30 years and still averages among the worldâ€™s highest, almost 6 children per woman, largely because of the countryâ€™s lack of access to family planning services, education for girls, and employment for women. Zambia also exhibits wide fertility disparities based on rural or urban location, education, and income. Poor, uneducated women from rural areas are more likely to marry young, to give birth early, and to have more children, viewing children as a sign of prestige and recognizing that not all of their children will live to adulthood. HIV/AIDS is prevalent in Zambia and contributes to its low life expectancy. |
| Demographic profile: | Zambian emigration is low compared to many other African countries and is comprised predominantly of the well-educated. The small amount of brain drain, however, has a major impact in Zambia because of its limited human capital and lack of educational infrastructure for developing skilled professionals in key fields. For example, Zambia has few schools for training doctors, nurses, and other health care workers. Its spending on education is low compared to other Sub-Saharan countries. |
| Age structure: | 0-14 years: 45.74% (male 4,005,134/female 3,964,969) |
| Age structure: | 15-24 years: 20.03% (male 1,744,843/female 1,746,561) |
| Age structure: | 25-54 years: 28.96% (male 2,539,697/female 2,506,724) |
| Age structure: | 55-64 years: 3.01% (male 242,993/female 280,804) |
| Age structure: | 65 years and over: 2.27% (male 173,582/female 221,316) (2020 est.) |
| Dependency ratios: | total dependency ratio: 85.7 |
| Dependency ratios: | youth dependency ratio: 81.7 |
| Dependency ratios: | elderly dependency ratio: 4 |
| Dependency ratios: | potential support ratio: 25.3 (2020 est.) |
| Median age: | total: 16.9 years |
| Median age: | male: 16.7 years |
| Median age: | female: 17 years (2020 est.) |
| Population growth rate: | 2.89% (2020 est.) |
| Birth rate: | 40.4 births/1,000 population (2020 est.) |
| Death rate: | 11.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | one of the highest levels of urbanization in Africa; high density in the central area, particularly around the cities of Lusaka, Ndola, Kitwe, and Mufulira as shown in this population distribution map |
| Urbanization: | urban population: 44.6% of total population (2020) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.774 million LUSAKA (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.2 years (2013/14 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 213 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 56 deaths/1,000 live births |
