| People and Society | Thailand |
| --- | --- |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Religions: | Buddhist (official) 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Population: | 67,091,089 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 19.5% (male 6,697,165/ female 6,386,840) |
| Age structure: | 15-64 years: 71% (male 23,575,773/ female 24,071,836) |
| Age structure: | 65 years and over: 9.5% (male 2,870,445/ female 3,489,030) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 34.7 years |
| Median age: | male: 33.7 years |
| Median age: | female: 35.6 years (2012 est.) |
| Population growth rate: | 0.543% (2012 est.) |
| Birth rate: | 12.81 births/1,000 population (2012 est.) |
| Death rate: | 7.38 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 34% of total population (2010) |
| Urbanization: | rate of urbanization: 1.8% annual rate of change (2010-15 est.) |
| Major cities - population: | BANGKOK (capital) 6.902 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.9 deaths/1,000 live births |
| Infant mortality rate: | male: 16.88 deaths/1,000 live births |
| Infant mortality rate: | female: 14.86 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 73.83 years |
| Life expectancy at birth: | male: 71.45 years |
| Life expectancy at birth: | female: 76.33 years (2012 est.) |
| Total fertility rate: | 1.66 children born/woman (2012 est.) |
| Health expenditures: | 4.3% of GDP (2009) |
| Physicians density: | 0.298 physicians/1,000 population (2004) |
| Hospital bed density: | 2.2 beds/1,000 population (2002) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population |
| HIV/AIDS - adult prevalence rate: | 1.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 530,000 (2009 est.) |
| HIV/AIDS - deaths: | 28,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Obesity - adult prevalence rate: | 7.8% (2003) |
| Children under the age of 5 years underweight: | 7% (2006) |
| Education expenditures: | 4.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.5% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Unemployment, youth ages 15-24: | total: 4.3% |
| Unemployment, youth ages 15-24: | male: 3.7% |
| Unemployment, youth ages 15-24: | female: 5.1% (2009) |
