| People and Society | Thailand |
| --- | --- |
| Population: | 68,615,858 (July 2018 est.) |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 97.5%, Burmese 1.3%, other 1.1%, unspecified <.1% (2015 est.) |
| Ethnic groups: | note: data represent population by nationality |
| Languages: | Thai (official) only 90.7%, Thai and other languages 6.4%, only other languages (includes Malay, Burmese) (2010 est.) |
| Languages: | note: data represent population by language(s) spoken at home; English is a secondary language of the elite |
| Religions: | Buddhist 94.6%, Muslim 4.3%, Christian 1%, other (2015 est.) |
| Age structure: | 0-14 years: 16.73% (male 5,880,026 /female 5,598,611) |
| Age structure: | 15-24 years: 13.83% (male 4,840,303 /female 4,649,589) |
| Age structure: | 25-54 years: 46.12% (male 15,670,881 /female 15,972,254) |
| Age structure: | 55-64 years: 12.35% (male 3,970,979 /female 4,503,647) |
| Age structure: | 65 years and over: 10.97% (male 3,289,576 /female 4,239,992) (2018 est.) |
| Dependency ratios: | total dependency ratio: 40 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 25.2 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 14.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 6.8 (2015 est.) |
| Median age: | total: 38.1 years |
| Median age: | male: 37 years |
| Median age: | female: 39.2 years (2018 est.) |
| Population growth rate: | 0.29% (2018 est.) |
| Birth rate: | 11 births/1,000 population (2018 est.) |
| Death rate: | 8.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | highest population density is found in and around Bangkok; significant population clusters found througout large parts of the country, particularly north and northeast of Bangkok and in the extreme southern region of the country |
| Urbanization: | urban population: 49.9% of total population (2018) |
| Urbanization: | rate of urbanization: 1.73% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 10.156 million BANGKOK (capital), 1.272 million Samut Prakan, 1.135 million Chiang Mai, 940,000 Songkla, 937,000 Nothaburi, 889,000 Pathum Thani (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.89 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.78 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.97 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 23.3 years (2009 est.) |
| Maternal mortality rate: | 20 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 9.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 8 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 75.1 years (2018 est.) |
| Life expectancy at birth: | male: 71.9 years (2018 est.) |
| Life expectancy at birth: | female: 78.5 years (2018 est.) |
| Total fertility rate: | 1.52 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 78.4% (2015/16) |
| Health expenditures: | 6.5% of GDP (2014) |
| Physicians density: | 0.47 physicians/1,000 population (2015) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 97.6% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 97.8% of population |
| Drinking water source: | unimproved: urban: 2.4% of population |
| Drinking water source: | rural: 2% of population |
| Drinking water source: | total: 2.2% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 89.9% of population (2015 est.) |
| Sanitation facility access: | rural: 96.1% of population (2015 est.) |
| Sanitation facility access: | total: 93% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 10.1% of population (2015 est.) |
| Sanitation facility access: | rural: 3.9% of population (2015 est.) |
| Sanitation facility access: | total: 7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 440,000 (2017 est.) |
| HIV/AIDS - deaths: | 15,000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria (2016) |
| Obesity - adult prevalence rate: | 10% (2016) |
| Children under the age of 5 years underweight: | 6.7% (2016) |
| Education expenditures: | 4.1% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 92.9% (2015 est.) |
| Literacy: | male: 94.7% (2015 est.) |
| Literacy: | female: 91.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years (2015) |
| School life expectancy (primary to tertiary education): | male: 16 years (2015) |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 3.7% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 3% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 4.7% (2016 est.) |
