| People and Society | Thailand |
| --- | --- |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Religions: | Buddhist 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Population: | 66,720,153 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 19.9% (male 6,779,723/female 6,466,625) |
| Age structure: | 15-64 years: 70.9% (male 23,410,091/female 23,913,499) |
| Age structure: | 65 years and over: 9.2% (male 2,778,012/female 3,372,203) (2011 est.) |
| Median age: | total: 34.2 years |
| Median age: | male: 33.3 years |
| Median age: | female: 35.2 years (2011 est.) |
| Population growth rate: | 0.566% (2011 est.) |
| Birth rate: | 12.95 births/1,000 population (2011 est.) |
| Death rate: | 7.29 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 34% of total population (2010) |
| Urbanization: | rate of urbanization: 1.8% annual rate of change (2010-15 est.) |
| Major cities - population: | BANGKOK (capital) 6.902 million (2009) |
| Sex ratio: | at birth: 1.054 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 16.39 deaths/1,000 live births |
| Infant mortality rate: | male: 17.38 deaths/1,000 live births |
| Infant mortality rate: | female: 15.35 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 73.6 years |
| Life expectancy at birth: | male: 71.24 years |
| Life expectancy at birth: | female: 76.08 years (2011 est.) |
| Total fertility rate: | 1.66 children born/woman (2011 est.) |
| Health expenditures: | 4.3% of GDP (2009) |
| Physicians density: | 0.298 physicians/1,000 population (2004) |
| Hospital bed density: | 2.2 beds/1,000 population (2002) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 530,000 (2009 est.) |
| HIV/AIDS - deaths: | 28,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Obesity - adult prevalence rate: | 7.8% (2003) |
| Children under the age of 5 years underweight: | 7% (2006) |
| Education expenditures: | 4.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.5% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Unemployment, youth ages 15-24: | total: 4.3% |
| Unemployment, youth ages 15-24: | male: 3.7% |
| Unemployment, youth ages 15-24: | female: 5.1% (2009) |
