| People and Society | FRENCH POLYNESIA |
| --- | --- |
| Nationality: | noun: French Polynesian(s) |
| Nationality: | adjective: French Polynesian |
| Ethnic groups: | Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4% |
| Languages: | French (official) 61.1%, Polynesian (official) 31.4%, Asian languages 1.2%, other 0.3%, unspecified 6% (2002 census) |
| Religions: | Protestant 54%, Roman Catholic 30%, other 10%, no religion 6% |
| Population: | 282,703 (July 2015 est.) |
| Age structure: | 0-14 years: 23.31% (male 33,894/female 32,005) |
| Age structure: | 15-24 years: 16.36% (male 23,980/female 22,270) |
| Age structure: | 25-54 years: 44.1% (male 63,931/female 60,749) |
| Age structure: | 55-64 years: 8.83% (male 12,847/female 12,120) |
| Age structure: | 65 years and over: 7.4% (male 10,142/female 10,765) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 42.2% |
| population pyramid: | youth dependency ratio: 31.5% |
| population pyramid: | elderly dependency ratio: 10.7% |
| population pyramid: | potential support ratio: 9.3% (2015 est.) |
| Median age: | total: 31 years |
| Median age: | male: 30.9 years |
| Median age: | female: 31.2 years (2015 est.) |
| Population growth rate: | 0.94% (2015 est.) |
| Birth rate: | 15.22 births/1,000 population (2015 est.) |
| Death rate: | 5.02 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.84 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 55.9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.85% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PAPEETE (capital) 133,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.94 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.73 deaths/1,000 live births |
| Infant mortality rate: | male: 5.25 deaths/1,000 live births |
| Infant mortality rate: | female: 4.18 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.98 years |
| Life expectancy at birth: | male: 74.72 years |
| Life expectancy at birth: | female: 79.36 years (2015 est.) |
| Total fertility rate: | 1.92 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98.5% of population |
| Sanitation facility access: | rural: 98.5% of population |
| Sanitation facility access: | total: 98.5% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 1.5% of population |
| unimproved: | total: 1.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Unemployment, youth ages 15-24: | total: 34.2% |
| Unemployment, youth ages 15-24: | male: 31.4% |
| Unemployment, youth ages 15-24: | female: 38.5% (2007 est.) |
