| People and Society | French Polynesia |
| --- | --- |
| Nationality: | noun: French Polynesian(s) |
| Nationality: | adjective: French Polynesian |
| Ethnic groups: | Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4% |
| Languages: | French (official) 61.1%, Polynesian (official) 31.4%, Asian languages 1.2%, other 0.3%, unspecified 6% (2002 census) |
| Religions: | Protestant 54%, Roman Catholic 30%, other 10%, no religion 6% |
| Population: | 277,293 (July 2013 est.) |
| Age structure: | 0-14 years: 24.1% (male 34,376/female 32,457) |
| Age structure: | 15-24 years: 17.1% (male 24,553/female 22,953) |
| Age structure: | 25-54 years: 43.6% (male 62,080/female 58,903) |
| Age structure: | 55-64 years: 8.2% (male 11,771/female 11,081) |
| Age structure: | 65 years and over: 6.9% (male 9,299/female 9,820) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 42.4 % |
| population pyramid: | youth dependency ratio: 32.2 % |
| population pyramid: | elderly dependency ratio: 10.2 % |
| population pyramid: | potential support ratio: 9.8 (2013) |
| Median age: | total: 30.2 years |
| Median age: | male: 30.1 years |
| Median age: | female: 30.3 years (2013 est.) |
| Population growth rate: | 1% (2013 est.) |
| Birth rate: | 15.7 births/1,000 population (2013 est.) |
| Death rate: | 4.85 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.91 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 51% of total population (2010) |
| Urbanization: | rate of urbanization: 1.3% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PAPEETE (capital) 133,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 4.83 deaths/1,000 live births |
| Infant mortality rate: | male: 5.36 deaths/1,000 live births |
| Infant mortality rate: | female: 4.26 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 76.59 years |
| Life expectancy at birth: | male: 74.37 years |
| Life expectancy at birth: | female: 78.93 years (2013 est.) |
| Total fertility rate: | 1.97 children born/woman (2013 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 97% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 14 and over can read and write |
| Literacy: | total population: 98% |
| Literacy: | male: 98% |
| Literacy: | female: 98% (1977 est.) |
| Unemployment, youth ages 15-24: | total: 33.2% |
| Unemployment, youth ages 15-24: | male: 29.3% |
| Unemployment, youth ages 15-24: | female: 39.1% (2002) |
