| People and Society | BRITISH VIRGIN ISLANDS |
| --- | --- |
| Population: | 35,015 (July 2017 est.) |
| Nationality: | noun: British Virgin Islander(s) |
| Nationality: | adjective: British Virgin Islander |
| Ethnic groups: | African/black 76.3%, Latino 5.5%, white 5.4%, mixed 5.3%, Indian 2.1%, East Indian 1.6%, other 3%, unspecified 0.8% (2010 est.) |
| Languages: | English (official) |
| Religions: | Protestant 70.2% (Methodist 17.6%, Church of God 10.4%, Anglican 9.5%, Seventh Day Adventist 9.0%, Pentecostal 8.2%, Baptist 7.4%, New Testament Church of God 6.9%, other Protestant 1.2%), Roman Catholic 8.9%, Jehovah's Witness 2.5%, Hindu 1.9%, other 6.2%, none 7.9%, unspecified 2.4% (2010 est.) |
| Age structure: | 0-14 years: 16.7% (male 2,877/female 2,971) |
| Age structure: | 15-24 years: 13.37% (male 2,243/female 2,437) |
| Age structure: | 25-54 years: 49.37% (male 8,116/female 9,170) |
| Age structure: | 55-64 years: 11.6% (male 1,975/female 2,086) |
| Age structure: | 65 years and over: 8.97% (male 1,522/female 1,618) (2017 est.) |
| Median age: | total: 36.5 years |
| Median age: | male: 36.3 years |
| Median age: | female: 36.6 years (2017 est.) |
| Population growth rate: | 2.25% (2017 est.) |
| Birth rate: | 11.1 births/1,000 population (2017 est.) |
| Death rate: | 5.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | 16.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout the inhabited islands, with the largest islands of Tortola, Anegada, Virgin Gorda, and Jost Van Dyke having the largest populations |
| Urbanization: | urban population: 46.8% of total population (2017) |
| Urbanization: | rate of urbanization: 1.63% annual rate of change (2015-20 est.) |
| Major urban areas - population: | ROAD TOWN (capital) 13,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 0.97 male(s)/female |
| Sex ratio: | 15-24 years: 0.92 male(s)/female |
| Sex ratio: | 25-54 years: 0.89 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 12.1 deaths/1,000 live births |
| Infant mortality rate: | male: 13.8 deaths/1,000 live births |
| Infant mortality rate: | female: 10.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.8 years |
| Life expectancy at birth: | male: 77.4 years |
| Life expectancy at birth: | female: 80.3 years (2017 est.) |
| Total fertility rate: | 1.29 children born/woman (2017 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 97.5% of population |
| Sanitation facility access: | total: 97.5% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 2.5% of population |
| unimproved: | total: 2.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 4.4% of GDP (2010) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2015) |
