| People and Society | Ghana |
| --- | --- |
| Nationality: | noun: Ghanaian(s) |
| Nationality: | adjective: Ghanaian |
| Ethnic groups: | Akan 45.3%, Mole-Dagbon 15.2%, Ewe 11.7%, Ga-Dangme 7.3%, Guan 4%, Gurma 3.6%, Grusi 2.6%, Mande-Busanga 1%, other tribes 1.4%, other 7.8% (2000 census) |
| Languages: | Asante 14.8%, Ewe 12.7%, Fante 9.9%, Boron (Brong) 4.6%, Dagomba 4.3%, Dangme 4.3%, Dagarte (Dagaba) 3.7%, Akyem 3.4%, Ga 3.4%, Akuapem 2.9%, other (includes English (official)) 36.1% (2000 census) |
| Religions: | Christian 68.8% (Pentecostal/Charismatic 24.1%, Protestant 18.6%, Catholic 15.1%, other 11%), Muslim 15.9%, traditional 8.5%, other 0.7%, none 6.1% (2000 census) |
| Population: | 24,652,402 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 38.9% (male 4,815,972/ female 4,773,335) |
| Age structure: | 15-64 years: 57.1% (male 6,889,967/ female 7,179,274) |
| Age structure: | 65 years and over: 4% (male 463,962/ female 529,892) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 21.7 years |
| Median age: | male: 21.4 years |
| Median age: | female: 21.9 years (2012 est.) |
| Population growth rate: | 2.2% (2012 est.) |
| Birth rate: | 32 births/1,000 population (2012 est.) |
| Death rate: | 7.7 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -0.56 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 51% of total population (2010) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2010-15 est.) |
| Major cities - population: | ACCRA (capital) 2.269 million; Kumasi 1.773 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 40.9 deaths/1,000 live births |
| Infant mortality rate: | male: 45.1 deaths/1,000 live births |
| Infant mortality rate: | female: 36.7 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 61.45 years |
| Life expectancy at birth: | male: 60.22 years |
| Life expectancy at birth: | female: 62.73 years (2012 est.) |
| Total fertility rate: | 4.15 children born/woman (2012 est.) |
| Health expenditures: | 10.6% of GDP (2009) |
| Physicians density: | 0.085 physicians/1,000 population (2009) |
| Hospital bed density: | 0.93 beds/1,000 population (2009) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 18% of population |
| Sanitation facility access: | rural: 7% of population |
| Sanitation facility access: | total: 13% of population |
| unimproved: | urban: 82% of population |
| unimproved: | rural: 93% of population |
| unimproved: | total: 87% of population |
| HIV/AIDS - adult prevalence rate: | 1.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 260,000 (2009 est.) |
| HIV/AIDS - deaths: | 18,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 14.3% (2008) |
| Education expenditures: | 5.4% of GDP (2005) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.3% |
| Literacy: | male: 73.2% |
| Literacy: | female: 61.2% (2010 census) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2009) |
