| People and Society | Ghana |
| --- | --- |
| Nationality: | noun: Ghanaian(s) |
| Nationality: | adjective: Ghanaian |
| Ethnic groups: | Akan 45.3%, Mole-Dagbon 15.2%, Ewe 11.7%, Ga-Dangme 7.3%, Guan 4%, Gurma 3.6%, Grusi 2.6%, Mande-Busanga 1%, other tribes 1.4%, other 7.8% (2000 census) |
| Languages: | Asante 14.8%, Ewe 12.7%, Fante 9.9%, Boron (Brong) 4.6%, Dagomba 4.3%, Dangme 4.3%, Dagarte (Dagaba) 3.7%, Akyem 3.4%, Ga 3.4%, Akuapem 2.9%, other (includes English (official)) 36.1% (2000 census) |
| Religions: | Christian 68.8% (Pentecostal/Charismatic 24.1%, Protestant 18.6%, Catholic 15.1%, other 11%), Muslim 15.9%, traditional 8.5%, other 0.7%, none 6.1% (2000 census) |
| Population: | 24,791,073 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 36.5% (male 4,568,273/female 4,468,939) |
| Age structure: | 15-64 years: 60% (male 7,435,449/female 7,436,204) |
| Age structure: | 65 years and over: 3.6% (male 399,737/female 482,471) (2011 est.) |
| Median age: | total: 21.4 years |
| Median age: | male: 21.1 years |
| Median age: | female: 21.6 years (2011 est.) |
| Population growth rate: | 1.822% (2011 est.) |
| Birth rate: | 27.55 births/1,000 population (2011 est.) |
| Death rate: | 8.75 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.58 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 51% of total population (2010) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2010-15 est.) |
| Major cities - population: | ACCRA (capital) 2.269 million; Kumasi 1.773 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 48.55 deaths/1,000 live births |
| Infant mortality rate: | male: 51.99 deaths/1,000 live births |
| Infant mortality rate: | female: 45.01 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 61 years |
| Life expectancy at birth: | male: 59.78 years |
| Life expectancy at birth: | female: 62.25 years (2011 est.) |
| Total fertility rate: | 3.48 children born/woman (2011 est.) |
| Health expenditures: | 10.6% of GDP (2009) |
| Physicians density: | 0.085 physicians/1,000 population (2009) |
| Hospital bed density: | 0.93 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 90% of population |
| Drinking water source: | rural: 74% of population |
| Drinking water source: | total: 82% of population |
| unimproved: | urban: 10% of population |
| unimproved: | rural: 26% of population |
| unimproved: | total: 18% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 18% of population |
| Sanitation facility access: | rural: 7% of population |
| Sanitation facility access: | total: 13% of population |
| unimproved: | urban: 82% of population |
| unimproved: | rural: 93% of population |
| unimproved: | total: 87% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 260,000 (2009 est.) |
| HIV/AIDS - deaths: | 18,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 14.3% (2008) |
| Education expenditures: | 5.4% of GDP (2005) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.9% |
| Literacy: | male: 66.4% |
| Literacy: | female: 49.8% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2009) |
