| People and Society | Ghana |
| --- | --- |
| Population: | 29,340,248 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Ghanaian(s) |
| Nationality: | adjective: Ghanaian |
| Ethnic groups: | Akan 47.5%, Mole-Dagbon 16.6%, Ewe 13.9%, Ga-Dangme 7.4%, Gurma 5.7%, Guan 3.7%, Grusi 2.5%, Mande 1.1%, other 1.4% (2010 est.) |
| Languages: | Asante 16%, Ewe 14%, Fante 11.6%, Boron (Brong) 4.9%, Dagomba 4.4%, Dangme 4.2%, Dagarte (Dagaba) 3.9%, Kokomba 3.5%, Akyem 3.2%, Ga 3.1%, other 31.2% (2010 est.) |
| Languages: | note: English is the official language |
| Religions: | Christian 71.2% (Pentecostal/Charismatic 28.3%, Protestant 18.4%, Catholic 13.1%, other 11.4%), Muslim 17.6%, traditional 5.2%, other 0.8%, none 5.2% (2010 est.) |
| Demographic profile: | Ghana has a young age structure, with approximately 57% of the population under the age of 25. Its total fertility rate fell significantly during the 1980s and 1990s but has stalled at around four children per woman for the last few years. Fertility remains higher in the northern region than the Greater Accra region. On average, desired fertility has remained stable for several years; urban dwellers want fewer children than rural residents. Increased life expectancy, due to better health care, nutrition, and hygiene, and reduced fertility have increased Ghanaâ€™s share of elderly persons; Ghanaâ€™s proportion of persons aged 60+ is among the highest in Sub-Saharan Africa. Poverty has declined in Ghana, but it remains pervasive in the northern region, which is susceptible to droughts and floods and has less access to transportation infrastructure, markets, fertile farming land, and industrial centers. The northern region also has lower school enrollment, higher illiteracy, and fewer opportunities for women. |
| Demographic profile: | Ghana was a country of immigration in the early years after its 1957 independence, attracting labor migrants largely from Nigeria and other neighboring countries to mine minerals and harvest cocoa â€“ immigrants composed about 12% of Ghanaâ€™s population in 1960. In the late 1960s, worsening economic and social conditions discouraged immigration, and hundreds of thousands of immigrants, mostly Nigerians, were expelled. |
| Demographic profile: | During the 1970s, severe drought and an economic downturn transformed Ghana into a country of emigration; neighboring Cote dâ€™Ivoire was the initial destination. Later, hundreds of thousands of Ghanaians migrated to Nigeria to work in its booming oil industry, but most were deported in 1983 and 1985 as oil prices plummeted. Many Ghanaians then turned to more distant destinations, including other parts of Africa, Europe, and North America, but the majority continued to migrate within West Africa. Since the 1990s, increased emigration of skilled Ghanaians, especially to the US and the UK, drained the country of its health care and education professionals. Internally, poverty and other developmental disparities continue to drive Ghanaians from the north to the south, particularly to its urban centers. |
| Age structure: | 0-14 years: 37.44% (male 5,524,932/female 5,460,943) |
| Age structure: | 15-24 years: 18.64% (male 2,717,481/female 2,752,601) |
| Age structure: | 25-54 years: 34.27% (male 4,875,985/female 5,177,959) |
| Age structure: | 55-64 years: 5.21% (male 743,757/female 784,517) |
| Age structure: | 65 years and over: 4.44% (male 598,387/female 703,686) (2020 est.) |
| Dependency ratios: | total dependency ratio: 67.4 |
| Dependency ratios: | youth dependency ratio: 62.2 |
| Dependency ratios: | elderly dependency ratio: 5.3 |
| Dependency ratios: | potential support ratio: 17.1 (2020 est.) |
| Median age: | total: 21.4 years |
| Median age: | male: 21 years |
| Median age: | female: 21.9 years (2020 est.) |
| Population growth rate: | 2.15% (2020 est.) |
