| People and Society | ARMENIA |
| --- | --- |
| Nationality: | noun: Armenian(s) |
| Nationality: | adjective: Armenian |
| Ethnic groups: | Armenian 98.1%, Yezidi (Kurd) 1.1%, other 0.7% (2011 est.) |
| Languages: | Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1% (2011 est.) |
| Religions: | Armenian Apostolic 92.6%, Evangelical 1%, other 2.4%, none 1.1%, unspecified 2.9% (2011 est.) |
| Population: | 3,056,382 (July 2015 est.) |
| Age structure: | 0-14 years: 19.05% (male 310,893/female 271,479) |
| Age structure: | 15-24 years: 14.42% (male 225,029/female 215,700) |
| Age structure: | 25-54 years: 43.47% (male 638,983/female 689,519) |
| Age structure: | 55-64 years: 12.35% (male 171,584/female 205,751) |
| Age structure: | 65 years and over: 10.71% (male 130,804/female 196,640) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.3% |
| population pyramid: | youth dependency ratio: 26% |
| population pyramid: | elderly dependency ratio: 15.3% |
| population pyramid: | potential support ratio: 6.5% (2015 est.) |
| Median age: | total: 34.2 years |
| Median age: | male: 32.3 years |
| Median age: | female: 36.1 years (2015 est.) |
| Population growth rate: | -0.15% (2015 est.) |
| Birth rate: | 13.61 births/1,000 population (2015 est.) |
| Death rate: | 9.34 deaths/1,000 population (2015 est.) |
| Net migration rate: | -5.8 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 62.7% of total population (2015) |
| Urbanization: | rate of urbanization: -0.11% annual rate of change (2010-15 est.) |
| Major urban areas - population: | YEREVAN (capital) 1,044 (2015) |
| Sex ratio: | at birth: 1.13 male(s)/female |
| Sex ratio: | 0-14 years: 1.15 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 13.51 deaths/1,000 live births |
| Infant mortality rate: | male: 14.95 deaths/1,000 live births |
| Infant mortality rate: | female: 11.88 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 74.37 years |
| Life expectancy at birth: | male: 71.13 years |
| Life expectancy at birth: | female: 78.03 years (2015 est.) |
| Total fertility rate: | 1.64 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 54.9% (2010) |
| Health expenditures: | 4.5% of GDP (2013) |
| Physicians density: | 2.7 physicians/1,000 population (2013) |
| Hospital bed density: | 3.9 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 78.2% of population |
| Sanitation facility access: | total: 89.5% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 21.8% of population |
| unimproved: | total: 10.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.22% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,000 (2014 est.) |
| HIV/AIDS - deaths: | 200 (2014 est.) |
| Obesity - adult prevalence rate: | 19.9% (2014) |
| Children under the age of 5 years underweight: | 5.3% (2010) |
| Education expenditures: | 2.3% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Child labor - children ages 5-14: | total number: 19,596 |
| Child labor - children ages 5-14: | percentage: 4% |
| Child labor - children ages 5-14: | note: data represents children ages 7-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 39.2% |
| Unemployment, youth ages 15-24: | male: 35% |
| Unemployment, youth ages 15-24: | female: 45% (2011 est.) |
