| People and Society | Armenia |
| --- | --- |
| Nationality: | noun: Armenian(s) |
| Nationality: | adjective: Armenian |
| Ethnic groups: | Armenian 98.1%, Yezidi (Kurd) 1.1%, other 0.7% (2011 est.) |
| Languages: | Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1% (2011 est.) |
| Religions: | Armenian Apostolic 92.6%, Evangelical 1%, other 2.4%, none 1.1%, unspecified 2.9% (2011 est.) |
| Population: | 3,060,631 (July 2014 est.) |
| Age structure: | 0-14 years: 19.1% (male 312,955/female 272,065) |
| Age structure: | 15-24 years: 15.2% (male 236,317/female 228,943) |
| Age structure: | 25-54 years: 43.5% (male 638,141/female 693,397) |
| Age structure: | 55-64 years: 11.7% (male 161,102/female 195,714) |
| Age structure: | 65 years and over: 10.5% (male 128,568/female 193,429) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44.1 % |
| population pyramid: | youth dependency ratio: 29.1 % |
| population pyramid: | elderly dependency ratio: 14.9 % |
| population pyramid: | potential support ratio: 6.7 (2014 est.) |
| Median age: | total: 33.7 years |
| Median age: | male: 31.8 years |
| Median age: | female: 35.8 years (2014 est.) |
| Population growth rate: | -0.13% (2014 est.) |
| Birth rate: | 13.92 births/1,000 population (2014 est.) |
| Death rate: | 9.3 deaths/1,000 population (2014 est.) |
| Net migration rate: | -5.88 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 64.1% of total population (2011) |
| Urbanization: | rate of urbanization: 0.34% annual rate of change (2010-15 est.) |
| Major urban areas - population: | YEREVAN (capital) 1.116 million (2011) |
| Sex ratio: | at birth: 1.14 male(s)/female |
| Sex ratio: | 0-14 years: 1.15 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.59 male(s)/female |
| Sex ratio: | total population: 0.89 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 23.5 (2011 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 13.97 deaths/1,000 live births |
| Infant mortality rate: | male: 15.39 deaths/1,000 live births |
| Infant mortality rate: | female: 12.36 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.12 years |
| Life expectancy at birth: | male: 70.9 years |
| Life expectancy at birth: | female: 77.78 years (2014 est.) |
| Total fertility rate: | 1.64 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 54.9% (2010) |
| Health expenditures: | 4.3% of GDP (2011) |
| Physicians density: | 2.85 physicians/1,000 population (2011) |
| Hospital bed density: | 4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.9% of population |
| Sanitation facility access: | rural: 80.9% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 4.1% of population |
| unimproved: | rural: 19.1% of population |
| unimproved: | total: 9.5% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,500 (2012 est.) |
| HIV/AIDS - deaths: | 200 (2012 est.) |
| Obesity - adult prevalence rate: | 24% (2008) |
| Children under the age of 5 years underweight: | 5.3% (2010) |
| Education expenditures: | 3.3% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.6% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.5% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Child labor - children ages 5-14: | total number: 19,596 |
| Child labor - children ages 5-14: | percentage: 4 % |
| Child labor - children ages 5-14: | note: data represents children ages 7-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 39.2% |
| Unemployment, youth ages 15-24: | male: 35% |
| Unemployment, youth ages 15-24: | female: 45% (2011) |
