| People and Society | Armenia |
| --- | --- |
| Nationality: | noun: Armenian(s) |
| Nationality: | adjective: Armenian |
| Ethnic groups: | Armenian 97.9%, Yezidi (Kurd) 1.3%, Russian 0.5%, other 0.3% (2001 census) |
| Languages: | Armenian (official) 97.7%, Yezidi 1%, Russian 0.9%, other 0.4% (2001 census) |
| Religions: | Armenian Apostolic 94.7%, other Christian 4%, Yezidi (monotheist with elements of nature worship) 1.3% |
| Population: | 2,974,184 (July 2013 est.) |
| Age structure: | 0-14 years: 17.3% (male 274,473/female 239,275) |
| Age structure: | 15-24 years: 17.7% (male 270,206/female 255,325) |
| Age structure: | 25-54 years: 46% (male 643,563/female 725,985) |
| Age structure: | 55-64 years: 9.2% (male 106,531/female 167,486) |
| Age structure: | 65 years and over: 9.8% (male 106,552/female 184,788) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44.1 % |
| population pyramid: | youth dependency ratio: 29.2 % |
| population pyramid: | elderly dependency ratio: 14.9 % |
| population pyramid: | potential support ratio: 6.7 (2013) |
| Median age: | total: 32.9 years |
| Median age: | male: 30.3 years |
| Median age: | female: 35.7 years (2013 est.) |
| Population growth rate: | 0.14% (2013 est.) |
| Birth rate: | 12.86 births/1,000 population (2013 est.) |
| Death rate: | 8.51 deaths/1,000 population (2013 est.) |
| Net migration rate: | -2.93 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 64.1% of total population (2011) |
| Urbanization: | rate of urbanization: 0.34% annual rate of change (2010-15 est.) |
| Major urban areas - population: | YEREVAN (capital) 1.116 million (2011) |
| Sex ratio: | at birth: 1.11 male(s)/female |
| Sex ratio: | 0-14 years: 1.15 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.62 male(s)/female |
| Sex ratio: | 65 years and over: 0.59 male(s)/female |
| Sex ratio: | total population: 0.89 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 24.1 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 17.59 deaths/1,000 live births |
| Infant mortality rate: | male: 21.9 deaths/1,000 live births |
| Infant mortality rate: | female: 12.83 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 73.75 years |
| Life expectancy at birth: | male: 70.1 years |
| Life expectancy at birth: | female: 77.8 years (2013 est.) |
| Total fertility rate: | 1.39 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 54.9% (2010) |
| Health expenditures: | 4.3% of GDP (2011) |
| Physicians density: | 2.85 physicians/1,000 population (2011) |
| Hospital bed density: | 4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95% of population |
| Sanitation facility access: | rural: 80% of population |
| Sanitation facility access: | total: 90% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 20% of population |
| unimproved: | total: 10% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,900 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 24% (2008) |
| Children under the age of 5 years underweight: | 5.3% (2010) |
| Education expenditures: | 3.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.6% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.5% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Child labor - children ages 5-14: | total number: 19,596 |
| Child labor - children ages 5-14: | percentage: 4 % |
| Child labor - children ages 5-14: | note: data represents children ages 7-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 45.5% |
| Unemployment, youth ages 15-24: | male: 37.4% |
| Unemployment, youth ages 15-24: | female: 54.7% (2008) |
