| People and Society | Algeria |
| --- | --- |
| Nationality: | noun: Algerian(s) |
| Nationality: | adjective: Algerian |
| Ethnic groups: | Arab-Berber 99%, European less than 1% |
| Ethnic groups: | note: although almost all Algerians are Berber in origin (not Arab), only a minority identify themselves as Berber, about 15% of the total population; these people live mostly in the mountainous region of Kabylie east of Algiers; the Berbers are also Muslim but identify with their Berber rather than Arab cultural heritage; Berbers have long agitated, sometimes violently, for autonomy; the government is unlikely to grant autonomy but has offered to begin sponsoring teaching Berber language in schools |
| Languages: | Arabic (official), French, Berber dialects |
| Religions: | Sunni Muslim (state religion) 99%, Christian and Jewish 1% |
| Population: | 34,994,937 (July 2011 est.) |
| Age structure: | 0-14 years: 24.2% (male 4,319,295/female 4,144,863) |
| Age structure: | 15-64 years: 70.6% (male 12,455,378/female 12,242,604) |
| Age structure: | 65 years and over: 5.2% (male 845,116/female 987,681) (2011 est.) |
| Median age: | total: 27.6 years |
| Median age: | male: 27.4 years |
| Median age: | female: 27.8 years (2011 est.) |
| Population growth rate: | 1.173% (2011 est.) |
| Birth rate: | 16.69 births/1,000 population (2011 est.) |
| Death rate: | 4.69 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.27 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 66% of total population (2010) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major cities - population: | ALGIERS (capital) 2.74 million; Oran 770,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 120 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 25.81 deaths/1,000 live births |
| Infant mortality rate: | male: 28.8 deaths/1,000 live births |
| Infant mortality rate: | female: 22.67 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 74.5 years |
| Life expectancy at birth: | male: 72.78 years |
| Life expectancy at birth: | female: 76.31 years (2011 est.) |
| Total fertility rate: | 1.75 children born/woman (2011 est.) |
| Health expenditures: | 5.8% of GDP (2009) |
| Physicians density: | 1.207 physicians/1,000 population (2007) |
| Hospital bed density: | 1.7 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85% of population |
| Drinking water source: | rural: 79% of population |
| Drinking water source: | total: 83% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 21% of population |
| unimproved: | total: 17% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 88% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 12% of population |
| unimproved: | total: 5% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.1%; 0.1% note - no country specific models provided (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 18,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Children under the age of 5 years underweight: | 3.7% (2005) |
| Education expenditures: | 4.3% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 69.9% |
| Literacy: | male: 79.6% |
| Literacy: | female: 60.1% (2002 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2005) |
| Unemployment, youth ages 15-24: | total: 24.3% |
| Unemployment, youth ages 15-24: | male: 42.9% |
| Unemployment, youth ages 15-24: | female: 46.3% (2006) |
