| People and Society | ALGERIA |
| --- | --- |
| Population: | 40,969,443 (July 2017 est.) |
| Nationality: | noun: Algerian(s) |
| Nationality: | adjective: Algerian |
| Ethnic groups: | Arab-Berber 99%, European less than 1% |
| Ethnic groups: | note: although almost all Algerians are Berber in origin (not Arab), only a minority identify themselves as Berber, about 15% of the total population; these people live mostly in the mountainous region of Kabylie east of Algiers; the Berbers are also Muslim but identify with their Berber rather than Arab cultural heritage; Berbers have long agitated, sometimes violently, for autonomy; the government is unlikely to grant autonomy but has offered to begin sponsoring teaching Berber language in schools |
| Languages: | Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq) |
| Religions: | Muslim (official; predominantly Sunni) 99%, other (includes Christian and Jewish) <1% (2012 est.) |
| Demographic profile: | For the first two-thirds of the 20th century, Algeria’s high fertility rate caused its population to grow rapidly. However, about a decade after independence from France in 1962 the total fertility rate fell dramatically from 7 children per woman in the 1970s to about 2.4 in 2000, slowing Algeria’s population growth rate by the late 1980s. The lower fertility rate was mainly the result of women’s rising age at first marriage (virtually all Algerian children being born in wedlock) and to a lesser extent the wider use of contraceptives. Later marriages and a preference for smaller families are attributed to increases in women’s education and participation in the labor market; higher unemployment; and a shortage of housing forcing multiple generations to live together. The average woman’s age at first marriage increased from about 19 in the mid-1950s to 24 in the mid-1970s to 30.5 in the late 1990s. |
| Demographic profile: | Algeria’s fertility rate experienced an unexpected upturn in the early 2000s, as the average woman’s age at first marriage dropped slightly. The reversal in fertility could represent a temporary fluctuation in marriage age or, less likely, a decrease in the steady rate of contraceptive use. |
| Demographic profile: | Thousands of Algerian peasants – mainly Berber men from the Kabylia region – faced with land dispossession and economic hardship under French rule migrated temporarily to France to work in manufacturing and mining during the first half of the 20th century. This movement accelerated during World War I, when Algerians filled in for French factory workers or served as soldiers. In the years following independence, low-skilled Algerian workers and Algerians who had supported the French (harkis) emigrated en masse to France. Tighter French immigration rules and Algiers’ decision to cease managing labor migration to France in the 1970s limited legal emigration largely to family reunification. |
| Demographic profile: | Not until Algeria’s civil war in the 1990s did the country again experience substantial outmigration. Many Algerians legally entered Tunisia without visas claiming to be tourists and then stayed as workers. Other Algerians headed to Europe seeking asylum, although France imposed restrictions. Sub-Saharan African migrants came to Algeria after its civil war to work in agriculture and mining. In the 2000s, a wave of educated Algerians went abroad seeking skilled jobs in a wider range of destinations, increasing their presence in North America and Spain. At the same time, legal foreign workers principally from China and Egypt came to work in Algeria’s construction and oil sectors. Illegal migrants from sub-Saharan Africa, particularly Malians, Nigeriens, and Gambians, continue to come to Algeria in search of work or to use it as a stepping stone to Libya and Europe. |
| Demographic profile: | Since 1975, Algeria also has been the main recipient of Sahrawi refugees from the ongoing conflict in Western Sahara. An estimated 90,000 Sahrawis live in five refugee camps in southwestern Algeria near Tindouf. |
| Age structure: | 0-14 years: 29.31% (male 6,148,568/female 5,858,922) |
| Age structure: | 15-24 years: 15.3% (male 3,208,185/female 3,061,179) |
| Age structure: | 25-54 years: 42.93% (male 8,906,160/female 8,682,894) |
| Age structure: | 55-64 years: 6.81% (male 1,410,298/female 1,378,282) |
| Age structure: | 65 years and over: 5.65% (male 1,079,218/female 1,235,737) (2017 est.) |
| Dependency ratios: | total dependency ratio: 52.7 |
| Dependency ratios: | youth dependency ratio: 43.8 |
| Dependency ratios: | elderly dependency ratio: 9 |
| Dependency ratios: | potential support ratio: 11.2 (2015 est.) |
| Median age: | total: 28.1 years |
| Median age: | male: 27.8 years |
| Median age: | female: 28.4 years (2017 est.) |
| Population growth rate: | 1.7% (2017 est.) |
| Birth rate: | 22.2 births/1,000 population (2017 est.) |
| Death rate: | 4.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of the populace is found in the extreme northern part of the country along the Mediterranean Coast |
| Urbanization: | urban population: 71.9% of total population (2017) |
| Urbanization: | rate of urbanization: 2.26% annual rate of change (2015-20 est.) |
| Major urban areas - population: | ALGIERS (capital) 2.594 million; Oran 858,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 140 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 19.6 deaths/1,000 live births |
| Infant mortality rate: | male: 21.2 deaths/1,000 live births |
| Infant mortality rate: | female: 17.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77 years |
| Life expectancy at birth: | male: 75.6 years |
| Life expectancy at birth: | female: 78.4 years (2017 est.) |
| Total fertility rate: | 2.7 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 57.1% (2012/13) |
| Health expenditures: | 7.2% of GDP (2014) |
| Physicians density: | 1.19 physicians/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.3% of population |
| Drinking water source: | rural: 81.8% of population |
| Drinking water source: | total: 83.6% of population |
| unimproved: | urban: 15.7% of population |
| unimproved: | rural: 18.2% of population |
| unimproved: | total: 16.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.8% of population |
| Sanitation facility access: | rural: 82.2% of population |
