| People and Society | ALGERIA |
| --- | --- |
| Nationality: | noun: Algerian(s) |
| Nationality: | adjective: Algerian |
| Ethnic groups: | Arab-Berber 99%, European less than 1% |
| Ethnic groups: | note: although almost all Algerians are Berber in origin (not Arab), only a minority identify themselves as Berber, about 15% of the total population; these people live mostly in the mountainous region of Kabylie east of Algiers; the Berbers are also Muslim but identify with their Berber rather than Arab cultural heritage; Berbers have long agitated, sometimes violently, for autonomy; the government is unlikely to grant autonomy but has offered to begin sponsoring teaching Berber language in schools |
| Languages: | Arabic (official), French (lingua franca), Berber dialects: Kabylie Berber (Tamazight), Chaouia Berber (Tachawit), Mzab Berber, Tuareg Berber (Tamahaq) |
| Religions: | Muslim (official; predominantly Sunni) 99%, other (includes Christian and Jewish) |
| Population: | 39,542,166 (July 2015 est.) |
| Age structure: | 0-14 years: 28.75% (male 5,820,027/female 5,547,573) |
| Age structure: | 15-24 years: 16.64% (male 3,368,415/female 3,213,185) |
| Age structure: | 25-54 years: 42.84% (male 8,569,397/female 8,369,078) |
| Age structure: | 55-64 years: 6.42% (male 1,289,595/female 1,248,385) |
| Age structure: | 65 years and over: 5.35% (male 977,744/female 1,138,767) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.6% |
| population pyramid: | youth dependency ratio: 43.6% |
| population pyramid: | elderly dependency ratio: 9.1% |
| population pyramid: | potential support ratio: 11% (2015 est.) |
| Median age: | total: 27.5 years |
| Median age: | male: 27.2 years |
| Median age: | female: 27.8 years (2015 est.) |
| Population growth rate: | 1.84% (2015 est.) |
| Birth rate: | 23.67 births/1,000 population (2015 est.) |
| Death rate: | 4.31 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.92 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 70.7% of total population (2015) |
| Urbanization: | rate of urbanization: 2.77% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ALGIERS (capital) 2.594 million; Oran 858,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 20.98 deaths/1,000 live births |
| Infant mortality rate: | male: 22.7 deaths/1,000 live births |
| Infant mortality rate: | female: 19.18 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.59 years |
| Life expectancy at birth: | male: 75.29 years |
| Life expectancy at birth: | female: 77.96 years (2015 est.) |
| Total fertility rate: | 2.78 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 61.4% (2006) |
| Health expenditures: | 6.6% of GDP (2013) |
| Physicians density: | 1.21 physicians/1,000 population (2007) |
| Hospital bed density: | 1.7 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.3% of population |
| Drinking water source: | rural: 81.8% of population |
| Drinking water source: | total: 83.6% of population |
| unimproved: | urban: 15.7% of population |
| unimproved: | rural: 18.2% of population |
| unimproved: | total: 16.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.8% of population |
| Sanitation facility access: | rural: 82.2% of population |
| Sanitation facility access: | total: 87.6% of population |
| unimproved: | urban: 10.2% of population |
| unimproved: | rural: 17.8% of population |
| unimproved: | total: 12.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.04% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 10,500 (2014 est.) |
| HIV/AIDS - deaths: | 200 (2014 est.) |
| Obesity - adult prevalence rate: | 23.6% (2014) |
| Children under the age of 5 years underweight: | 3.7% (2005) |
| Education expenditures: | 4.3% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 80.2% |
| Literacy: | male: 87.2% |
| Literacy: | female: 73.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Child labor - children ages 5-14: | total number: 304,358 |
| Child labor - children ages 5-14: | percentage: 5% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 22.4% |
| Unemployment, youth ages 15-24: | male: 19.1% |
| Unemployment, youth ages 15-24: | female: 38.2% (2011 est.) |
