| People and Society | Algeria |
| --- | --- |
| Nationality: | noun: Algerian(s) |
| Nationality: | adjective: Algerian |
| Ethnic groups: | Arab-Berber 99%, European less than 1% |
| Ethnic groups: | note: although almost all Algerians are Berber in origin (not Arab), only a minority identify themselves as Berber, about 15% of the total population; these people live mostly in the mountainous region of Kabylie east of Algiers; the Berbers are also Muslim but identify with their Berber rather than Arab cultural heritage; Berbers have long agitated, sometimes violently, for autonomy; the government is unlikely to grant autonomy but has offered to begin sponsoring teaching Berber language in schools |
| Languages: | Arabic (official), French (lingua franca), Berber dialects: Kabylie Berber (Tamazight), Chaouia Berber (Tachawit), Mzab Berber, Tuareg Berber (Tamahaq) |
| Religions: | Muslim (official; predominantly Sunni) 99%, other (includes Christian and Jewish) |
| Population: | 38,813,722 (July 2014 est.) |
| Age structure: | 0-14 years: 28.4% (male 5,641,148/female 5,378,207) |
| Age structure: | 15-24 years: 17.4% (male 3,451,069/female 3,291,166) |
| Age structure: | 25-54 years: 42.8% (male 8,398,770/female 8,209,634) |
| Age structure: | 55-64 years: 6.2% (male 1,230,865/female 1,186,832) |
| Age structure: | 65 years and over: 5.2% (male 931,769/female 1,094,262) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.5 % |
| population pyramid: | youth dependency ratio: 41.6 % |
| population pyramid: | elderly dependency ratio: 6.8 % |
| population pyramid: | potential support ratio: 14.6 (2014 est.) |
| Median age: | total: 27.3 years |
| Median age: | male: 27 years |
| Median age: | female: 27.5 years (2014 est.) |
| Population growth rate: | 1.88% (2014 est.) |
| Birth rate: | 23.99 births/1,000 population (2014 est.) |
| Death rate: | 4.31 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.93 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 73% of total population (2011) |
| Urbanization: | rate of urbanization: 2.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ALGIERS (capital) 2.916 million; Oran 783,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Maternal mortality rate: | 97 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 21.76 deaths/1,000 live births |
| Infant mortality rate: | male: 23.54 deaths/1,000 live births |
| Infant mortality rate: | female: 19.9 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 76.39 years |
| Life expectancy at birth: | male: 75.12 years |
| Life expectancy at birth: | female: 77.72 years (2014 est.) |
| Total fertility rate: | 2.78 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 61.4% (2006) |
| Health expenditures: | 3.9% of GDP (2011) |
| Physicians density: | 1.21 physicians/1,000 population (2007) |
| Hospital bed density: | 1.7 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85.5% of population |
| Drinking water source: | rural: 79.5% of population |
| Drinking water source: | total: 83.9% of population |
| unimproved: | urban: 14.5% of population |
| unimproved: | rural: 20.5% of population |
| unimproved: | total: 16.1% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.6% of population |
| Sanitation facility access: | rural: 88.4% of population |
| Sanitation facility access: | total: 95.2% of population |
| unimproved: | urban: 2.4% of population |
| unimproved: | rural: 11.6% of population |
| unimproved: | total: 4.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1%; note - no country specific models provided (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 18,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Obesity - adult prevalence rate: | 16% (2008) |
| Children under the age of 5 years underweight: | 3.7% (2005) |
| Education expenditures: | 4.3% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 72.6% |
| Literacy: | male: 81.3% |
| Literacy: | female: 63.9% (2006 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Child labor - children ages 5-14: | total number: 304,358 |
| Child labor - children ages 5-14: | percentage: 5 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 28.4% |
| Unemployment, youth ages 15-24: | male: 19.1% |
| Unemployment, youth ages 15-24: | female: 38.2% (2011) |
