| People and Society | Guinea-Bissau |
| --- | --- |
| Nationality: | noun: Bissau-Guinean(s) |
| Nationality: | adjective: Bissau-Guinean |
| Ethnic groups: | African 99% (includes Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1% |
| Languages: | Portuguese (official), Crioulo, African languages |
| Religions: | Muslim 50%, indigenous beliefs 40%, Christian 10% |
| Population: | 1,660,870 (July 2013 est.) |
| Age structure: | 0-14 years: 40% (male 331,406/female 332,662) |
| Age structure: | 15-24 years: 20.2% (male 166,339/female 168,906) |
| Age structure: | 25-54 years: 31.9% (male 263,190/female 266,963) |
| Age structure: | 55-64 years: 4.7% (male 28,333/female 49,322) |
| Age structure: | 65 years and over: 3.2% (male 20,807/female 32,942) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 79.7 % |
| population pyramid: | youth dependency ratio: 74.5 % |
| population pyramid: | elderly dependency ratio: 5.2 % |
| population pyramid: | potential support ratio: 19.3 (2013) |
| Median age: | total: 19.7 years |
| Median age: | male: 19.1 years |
| Median age: | female: 20.2 years (2013 est.) |
| Population growth rate: | 1.95% (2013 est.) |
| Birth rate: | 34.28 births/1,000 population (2013 est.) |
| Death rate: | 14.77 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 43.9% of total population (2011) |
| Urbanization: | rate of urbanization: 3.59% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BISSAU (capital) 302,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.58 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Maternal mortality rate: | 790 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 92.66 deaths/1,000 live births |
| Infant mortality rate: | male: 102.42 deaths/1,000 live births |
| Infant mortality rate: | female: 82.61 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 49.5 years |
| Life expectancy at birth: | male: 47.53 years |
| Life expectancy at birth: | female: 51.52 years (2013 est.) |
| Total fertility rate: | 4.37 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 14% (2010) |
| Health expenditures: | 6.3% of GDP (2011) |
| Physicians density: | 0.07 physicians/1,000 population (2009) |
| Hospital bed density: | 1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 53% of population |
| Drinking water source: | total: 64% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 47% of population |
| unimproved: | total: 36% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 44% of population |
| Sanitation facility access: | rural: 9% of population |
| Sanitation facility access: | total: 20% of population |
| unimproved: | urban: 56% of population |
| unimproved: | rural: 91% of population |
| unimproved: | total: 80% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 2.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 22,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,200 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.9% (2008) |
| Children under the age of 5 years underweight: | 17.2% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 55.3% |
| Literacy: | male: 68.9% |
| Literacy: | female: 42.1% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 9.5 years (2006) |
| Child labor - children ages 5-14: | total number: 226,316 |
| Child labor - children ages 5-14: | percentage: 57 % (2010 est.) |
