| People and Society | GUINEA-BISSAU |
| --- | --- |
| Population: | 1,759,159 (July 2016 est.) |
| Nationality: | noun: Bissau-Guinean(s) |
| Nationality: | adjective: Bissau-Guinean |
| Ethnic groups: | Fulani 28.5%, Balanta 22.5%, Mandinga 14.7%, Papel 9.1%, Manjaco 8.3%, Beafada 3.5%, Mancanha 3.1%, Bijago 2.1%, Felupe 1.7%, Mansoanca 1.4%, Balanta Mane 1%, other 1.8%, none 2.2% (2008 est.) |
| Languages: | Crioulo 90.4%, Portuguese 27.1% (official), French 5.1%, English 2.9%, other 2.4% |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2008 est.) |
| Religions: | Muslim 45.1%, Christian 22.1%, animist 14.9%, none 2%, unspecified 15.9% (2008 est.) |
| Demographic profile: | Guinea-Bissau’s young and growing population is sustained by high fertility; approximately 60% of the population is under the age of 25. Its large reproductive-age population and total fertility rate of more than 4 children per woman offsets the country’s high infant and maternal mortality rates. The latter is among the world’s highest because of the prevalence of early childbearing, a lack of birth spacing, the high percentage of births outside of health care facilities, and a shortage of medicines and supplies. |
| Demographic profile: | Guinea-Bissau’s history of political instability, a civil war, and several coups (the latest in 2012) have resulted in a fragile state with a weak economy, high unemployment, rampant corruption, widespread poverty, and thriving drug and child trafficking. With the country lacking educational infrastructure, school funding and materials, and qualified teachers, and with the cultural emphasis placed on religious education, parents frequently send boys to study in residential Koranic schools (daaras) in Senegal and The Gambia. They often are extremely deprived and are forced into street begging or agricultural work by marabouts (Muslim religious teachers), who enrich themselves at the expense of the children. Boys who leave their marabouts often end up on the streets of Dakar or other large Senegalese towns and are vulnerable to even worse abuse. |
| Demographic profile: | Some young men lacking in education and job prospects become involved in the flourishing international drug trade. Local drug use and associated violent crime are growing. |
| Age structure: | 0-14 years: 39.28% (male 344,976/female 346,102) |
| Age structure: | 15-24 years: 20.17% (male 176,050/female 178,842) |
| Age structure: | 25-54 years: 32.53% (male 285,258/female 286,955) |
| Age structure: | 55-64 years: 4.62% (male 31,030/female 50,215) |
| Age structure: | 65 years and over: 3.4% (male 22,121/female 37,610) (2016 est.) |
| Dependency ratios: | total dependency ratio: 78.4% |
| Dependency ratios: | youth dependency ratio: 72.8% |
| Dependency ratios: | elderly dependency ratio: 5.7% |
| Dependency ratios: | potential support ratio: 17.7% (2015 est.) |
| Median age: | total: 20 years |
| Median age: | male: 19.5 years |
| Median age: | female: 20.5 years (2016 est.) |
| Population growth rate: | 1.88% (2016 est.) |
| Birth rate: | 32.9 births/1,000 population (2016 est.) |
| Death rate: | 14.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 49.3% of total population (2015) |
| Urbanization: | rate of urbanization: 4.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BISSAU (capital) 492,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.62 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Maternal mortality rate: | 549 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 87.5 deaths/1,000 live births |
