| People and Society | NETHERLANDS |
| --- | --- |
| Nationality: | noun: Dutchman(men), Dutchwoman(women) |
| Nationality: | adjective: Dutch |
| Ethnic groups: | Dutch 80.7%, EU 5%, Indonesian 2.4%, Turkish 2.2%, Surinamese 2%, Moroccan 2%, Caribbean 0.8%, other 4.8% (2008 est.) |
| Languages: | Dutch (official) |
| Languages: | note: Frisian is an official language in Fryslan province; Frisian, Low Saxon, and Limburgish are recognized as regional languages under the European Charter for Regional or Minority Languages; for the three special municipalities of the Caribbean Netherlands, English is widely used on the islands of Sint Eustatius and Saba, while Papiamento is the primary language on Bonaire |
| Religions: | Roman Catholic 28%, Protestant 19% (includes Dutch Reformed 9%, Protestant Church of The Netherlands, 7%, Calvinist 3%), other 11% (includes about 5% Muslim and lesser numbers of Hindu, Buddhist, Jehovah's Witness, and Orthodox), none 42% (2009 est.) |
| Population: | 16,947,904 (July 2015 est.) |
| Age structure: | 0-14 years: 16.73% (male 1,450,957/female 1,384,576) |
| Age structure: | 15-24 years: 12.15% (male 1,049,802/female 1,009,250) |
| Age structure: | 25-54 years: 40.12% (male 3,412,016/female 3,388,119) |
| Age structure: | 55-64 years: 13.02% (male 1,099,594/female 1,107,401) |
| Age structure: | 65 years and over: 17.97% (male 1,373,111/female 1,673,078) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.3% |
| population pyramid: | youth dependency ratio: 25.3% |
| population pyramid: | elderly dependency ratio: 27.9% |
| population pyramid: | potential support ratio: 3.6% (2015 est.) |
| Median age: | total: 42.3 years |
| Median age: | male: 41.3 years |
| Median age: | female: 43.2 years (2015 est.) |
| Population growth rate: | 0.41% (2015 est.) |
| Birth rate: | 10.83 births/1,000 population (2015 est.) |
| Death rate: | 8.66 deaths/1,000 population (2015 est.) |
| Net migration rate: | 1.95 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 90.5% of total population (2015) |
| Urbanization: | rate of urbanization: 1.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | AMSTERDAM (capital) 1.091 million; Rotterdam 993,000; The Hague (seat of government) 650,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 3.62 deaths/1,000 live births |
| Infant mortality rate: | male: 3.91 deaths/1,000 live births |
| Infant mortality rate: | female: 3.32 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 81.23 years |
| Life expectancy at birth: | male: 79.11 years |
| Life expectancy at birth: | female: 83.47 years (2015 est.) |
| Total fertility rate: | 1.78 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 69% |
| Contraceptive prevalence rate: | note: percent of women aged 18-45 (2008) |
| Health expenditures: | 12.9% of GDP (2013) |
| Hospital bed density: | 4.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 99.9% of population |
| Sanitation facility access: | total: 97.7% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 0.1% of population |
| unimproved: | total: 2.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.9% (2014) |
| Education expenditures: | 5.9% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2012) |
| Unemployment, youth ages 15-24: | total: 9.5% |
| Unemployment, youth ages 15-24: | male: 8.9% |
| Unemployment, youth ages 15-24: | female: 10% (2012 est.) |
