| People and Society | NETHERLANDS |
| --- | --- |
| Population: | 17,084,719 (July 2017 est.) |
| Nationality: | noun: Dutchman(men), Dutchwoman(women) |
| Nationality: | adjective: Dutch |
| Ethnic groups: | Dutch 78.6%, EU 5.8%, Turkish 2.4%, Indonesian 2.2%, Moroccan 2.2%, Surinamese 2.1%, Bonairian, Saba Islander, Sint Eustatian 0.8%, other 5.9% (2014 est.) |
| Languages: | Dutch (official) |
| Languages: | note: Frisian is an official language in Fryslan province; Frisian, Low Saxon, Limburgish, Romani, and Yiddish have protected status under the European Charter for Regional or Minority Languages; Dutch is the official language of the three special municipalities of the Caribbean Netherlands, English is a recognized regional language on Sint Eustatius and Saba, and Papiamento is a recognized regional language on Bonaire |
| Religions: | Roman Catholic 28%, Protestant 19% (includes Dutch Reformed 9%, Protestant Church of The Netherlands, 7%, Calvinist 3%), other 11% (includes about 5% Muslim and fewer numbers of Hindu, Buddhist, Jehovah's Witness, and Orthodox), none 42% (2009 est.) |
| Age structure: | 0-14 years: 16.41% (male 1,434,919/female 1,368,437) |
| Age structure: | 15-24 years: 12.07% (male 1,051,319/female 1,010,969) |
| Age structure: | 25-54 years: 39.52% (male 3,387,716/female 3,364,010) |
| Age structure: | 55-64 years: 13.28% (male 1,128,484/female 1,139,703) |
| Age structure: | 65 years and over: 18.73% (male 1,449,752/female 1,749,410) (2017 est.) |
| Dependency ratios: | total dependency ratio: 53.1 |
| Dependency ratios: | youth dependency ratio: 25.6 |
| Dependency ratios: | elderly dependency ratio: 27.4 |
| Dependency ratios: | potential support ratio: 3.6 (2015 est.) |
| Median age: | total: 42.6 years |
| Median age: | male: 41.5 years |
| Median age: | female: 43.6 years (2017 est.) |
| Population growth rate: | 0.39% (2017 est.) |
| Birth rate: | 10.9 births/1,000 population (2017 est.) |
| Death rate: | 8.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | an area known as the Randstad, anchored by the cities of Amsterdam, Rotterdam, the Hague, and Utrecht, is the most densely populated region; the north tends to be less dense, though sizeable communities can be found throughout the entire country |
| Urbanization: | urban population: 91.5% of total population (2017) |
| Urbanization: | rate of urbanization: 0.72% annual rate of change (2015-20 est.) |
| Major urban areas - population: | AMSTERDAM (capital) 1.091 million; Rotterdam 993,000; The Hague (seat of government) 650,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29.6 years (2015 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.6 deaths/1,000 live births |
| Infant mortality rate: | male: 3.8 deaths/1,000 live births |
| Infant mortality rate: | female: 3.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 81.4 years |
| Life expectancy at birth: | male: 79.3 years |
| Life expectancy at birth: | female: 83.7 years (2017 est.) |
| Total fertility rate: | 1.78 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 73% |
| Contraceptive prevalence rate: | note: percent of women aged 18-45 (2013) |
| Health expenditures: | 10.9% of GDP (2014) |
| Physicians density: | 3.35 physicians/1,000 population (2014) |
| Hospital bed density: | 4.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 99.9% of population |
| Sanitation facility access: | total: 97.7% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 0.1% of population |
| unimproved: | total: 2.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 23,000 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Obesity - adult prevalence rate: | 20.4% (2016) |
| Education expenditures: | 5.6% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2012) |
| Unemployment, youth ages 15-24: | total: 11.3% |
| Unemployment, youth ages 15-24: | male: 11.3% |
| Unemployment, youth ages 15-24: | female: 11.2% (2015 est.) |
