| People and Society | Finland |
| --- | --- |
| Nationality: | noun: Finn(s) |
| Nationality: | adjective: Finnish |
| Ethnic groups: | Finn 93.4%, Swede 5.6%, Russian 0.5%, Estonian 0.3%, Roma (Gypsy) 0.1%, Sami 0.1% (2006) |
| Languages: | Finnish (official) 91.2%, Swedish (official) 5.5%, other (small Sami- and Russian-speaking minorities) 3.3% (2007) |
| Religions: | Lutheran Church of Finland 82.5%, Orthodox Church 1.1%, other Christian 1.1%, other 0.1%, none 15.1% (2006) |
| Population: | 5,266,114 (July 2013 est.) |
| Age structure: | 0-14 years: 15.8% (male 424,571/female 410,042) |
| Age structure: | 15-24 years: 12.3% (male 329,625/female 316,585) |
| Age structure: | 25-54 years: 38.3% (male 1,026,525/female 988,772) |
| Age structure: | 55-64 years: 14.4% (male 374,685/female 385,933) |
| Age structure: | 65 years and over: 19.2% (male 421,854/female 587,522) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55 % |
| population pyramid: | youth dependency ratio: 25.5 % |
| population pyramid: | elderly dependency ratio: 29.5 % |
| population pyramid: | potential support ratio: 3.4 (2013) |
| Median age: | total: 43 years |
| Median age: | male: 41.2 years |
| Median age: | female: 44.8 years (2013 est.) |
| Population growth rate: | 0.06% (2013 est.) |
| Birth rate: | 10.36 births/1,000 population (2013 est.) |
| Death rate: | 10.42 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0.62 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 85% of total population (2010) |
| Urbanization: | rate of urbanization: 0.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | HELSINKI (capital) 1.107 million (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 27.9 (2005 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.38 deaths/1,000 live births |
| Infant mortality rate: | male: 3.68 deaths/1,000 live births |
| Infant mortality rate: | female: 3.07 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.55 years |
| Life expectancy at birth: | male: 76.09 years |
| Life expectancy at birth: | female: 83.15 years (2013 est.) |
| Total fertility rate: | 1.73 children born/woman (2013 est.) |
| Health expenditures: | 8.9% of GDP (2011) |
| Physicians density: | 2.74 physicians/1,000 population (2008) |
| Hospital bed density: | 5.9 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,600 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 23% (2008) |
| Education expenditures: | 6.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2011) |
| Unemployment, youth ages 15-24: | total: 18.9% |
| Unemployment, youth ages 15-24: | male: 19.3% |
| Unemployment, youth ages 15-24: | female: 18.4% (2011) |
