| People and Society | Finland |
| --- | --- |
| Population: | 5,537,364 (July 2018 est.) |
| Nationality: | noun: Finn(s) |
| Nationality: | adjective: Finnish |
| Ethnic groups: | Finn, Swede, Russian, Estonian, Romani, Sami |
| Languages: | Finnish (official) 87.9%, Swedish (official) 5.2%, Russian 1.4%, other 5.5% (2017 est.) |
| Religions: | Lutheran 70.9%, Greek Orthodox 1.1%, other 1.7%, unspecified 26.3% (2017 est.) |
| Age structure: | 0-14 years: 16.44% (male 465,298 /female 445,186) |
| Age structure: | 15-24 years: 11.21% (male 317,500 /female 303,326) |
| Age structure: | 25-54 years: 37.64% (male 1,064,751 /female 1,019,748) |
| Age structure: | 55-64 years: 13.19% (male 359,434 /female 370,993) |
| Age structure: | 65 years and over: 21.51% (male 519,775 /female 671,353) (2018 est.) |
| Dependency ratios: | total dependency ratio: 57.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 25.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 32 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.1 (2015 est.) |
| Median age: | total: 42.6 years |
| Median age: | male: 41 years |
| Median age: | female: 44.3 years (2018 est.) |
| Population growth rate: | 0.33% (2018 est.) |
| Birth rate: | 10.7 births/1,000 population (2018 est.) |
| Death rate: | 10.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | 2.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of people are found in the south; the northern interior areas remain sparsely poplulated |
| Urbanization: | urban population: 85.4% of total population (2018) |
| Urbanization: | rate of urbanization: 0.42% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.279 million HELSINKI (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.76 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.97 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 28.8 years (2015 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 2.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 2.4 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 81.1 years (2018 est.) |
| Life expectancy at birth: | male: 78.1 years (2018 est.) |
| Life expectancy at birth: | female: 84.2 years (2018 est.) |
| Total fertility rate: | 1.75 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 85.5% (2015) |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 |
| Health expenditures: | 9.7% of GDP (2014) |
| Physicians density: | 3.2 physicians/1,000 population (2014) |
| Hospital bed density: | 4.4 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 99.4% of population (2015 est.) |
| Sanitation facility access: | rural: 88% of population (2015 est.) |
| Sanitation facility access: | total: 97.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.6% of population (2015 est.) |
| Sanitation facility access: | rural: 12% of population (2015 est.) |
| Sanitation facility access: | total: 2.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.2% (2016) |
| Education expenditures: | 7.2% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 19 years (2015) |
| School life expectancy (primary to tertiary education): | male: 19 years (2015) |
| School life expectancy (primary to tertiary education): | female: 20 years (2015) |
| Unemployment, youth ages 15-24: | total: 20.1% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 21.8% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 18.6% (2016 est.) |
