| People and Society | Nicaragua |
| --- | --- |
| Nationality: | noun: Nicaraguan(s) |
| Nationality: | adjective: Nicaraguan |
| Ethnic groups: | mestizo (mixed Amerindian and white) 69%, white 17%, black 9%, Amerindian 5% |
| Languages: | Spanish (official) 97.5%, Miskito 1.7%, other 0.8% (1995 census) |
| Languages: | note: English and indigenous languages found on the Atlantic coast |
| Religions: | Roman Catholic 58.5%, Protestant 23.2% (Evangelical 21.6%, Moravian 1.6%), Jehovah's Witnesses 0.9%, other 1.7%, none 15.7% (2005 census) |
| Population: | 5,666,301 (July 2011 est.) |
| Age structure: | 0-14 years: 31.7% (male 913,905/female 879,818) |
| Age structure: | 15-64 years: 63.8% (male 1,743,591/female 1,874,025) |
| Age structure: | 65 years and over: 4.5% (male 116,153/female 138,809) (2011 est.) |
| Median age: | total: 22.9 years |
| Median age: | male: 22.1 years |
| Median age: | female: 23.7 years (2011 est.) |
| Population growth rate: | 1.088% (2011 est.) |
| Birth rate: | 19.46 births/1,000 population (2011 est.) |
| Death rate: | 5.03 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -3.54 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 57% of total population (2010) |
| Urbanization: | rate of urbanization: 2% annual rate of change (2010-15 est.) |
| Major cities - population: | MANAGUA (capital) 934,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 100 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 22.64 deaths/1,000 live births |
| Infant mortality rate: | male: 25.94 deaths/1,000 live births |
| Infant mortality rate: | female: 19.19 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 71.9 years |
| Life expectancy at birth: | male: 69.82 years |
| Life expectancy at birth: | female: 74.09 years (2011 est.) |
| Total fertility rate: | 2.12 children born/woman (2011 est.) |
| Health expenditures: | 9.5% of GDP (2009) |
| Physicians density: | 0.37 physicians/1,000 population (2003) |
| Hospital bed density: | 0.9 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 68% of population |
| Drinking water source: | total: 85% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 32% of population |
| unimproved: | total: 15% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 63% of population |
| Sanitation facility access: | rural: 37% of population |
| Sanitation facility access: | total: 52% of population |
| unimproved: | urban: 37% of population |
| unimproved: | rural: 63% of population |
| unimproved: | total: 48% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,900 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 4.3% (2004) |
| Education expenditures: | 3.1% of GDP (2003) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.5% |
| Literacy: | male: 67.2% |
| Literacy: | female: 67.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2003) |
| Unemployment, youth ages 15-24: | total: 8.6% |
| Unemployment, youth ages 15-24: | male: 8.1% |
| Unemployment, youth ages 15-24: | female: 9.7% (2006) |
