| People | Nicaragua |
| --- | --- |
| Population: | 5,785,846 (July 2008 est.) |
| Age structure: | 0-14 years: 34.6% (male 1,019,281/female 981,903) |
| Age structure: | 15-64 years: 62.1% (male 1,792,398/female 1,803,133) |
| Age structure: | 65 years and over: 3.3% (male 82,840/female 106,291) (2008 est.) |
| Median age: | total: 21.7 years |
| Median age: | male: 21.3 years |
| Median age: | female: 22.1 years (2008 est.) |
| Population growth rate: | 1.825% (2008 est.) |
| Birth rate: | 23.7 births/1,000 population (2008 est.) |
| Death rate: | 4.33 deaths/1,000 population (2008 est.) |
| Net migration rate: | -1.13 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 25.91 deaths/1,000 live births |
| Infant mortality rate: | male: 29.06 deaths/1,000 live births |
| Infant mortality rate: | female: 22.6 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 71.21 years |
| Life expectancy at birth: | male: 69.08 years |
| Life expectancy at birth: | female: 73.44 years (2008 est.) |
| Total fertility rate: | 2.63 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,400 (2003 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2003 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2008) |
| Nationality: | noun: Nicaraguan(s) |
| Nationality: | adjective: Nicaraguan |
| Ethnic groups: | mestizo (mixed Amerindian and white) 69%, white 17%, black 9%, Amerindian 5% |
| Religions: | Roman Catholic 58.5%, Evangelical 21.6%, Moravian 1.6%, Jehovah's Witness 0.9%, other 1.7%, none 15.7% (2005 census) |
| Languages: | Spanish 97.5% (official), Miskito 1.7%, other 0.8% (1995 census) |
| Languages: | note: English and indigenous languages on Atlantic coast |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.5% |
| Literacy: | male: 67.2% |
| Literacy: | female: 67.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2003) |
| Education expenditures: | 3.1% of GDP (2003) |
