| People and Society | Nicaragua |
| --- | --- |
| Population: | 6,085,213 (July 2018 est.) |
| Nationality: | noun: Nicaraguan(s) |
| Nationality: | adjective: Nicaraguan |
| Ethnic groups: | mestizo (mixed Amerindian and white) 69%, white 17%, black 9%, Amerindian 5% |
| Languages: | Spanish (official) 95.3%, Miskito 2.2%, Mestizo of the Caribbean coast 2%, other 0.5% (2005 est.) |
| Languages: | note: English and indigenous languages found on the Caribbean coast |
| Religions: | Roman Catholic 50%, Evangelical 33.2%, other 2.9%, unspecified 13.2%, none 0.7% (2017 est.) |
| Demographic profile: | Despite being one of the poorest countries in Latin America, Nicaragua has improved its access to potable water and sanitation and has ameliorated its life expectancy, infant and child mortality, and immunization rates. However, income distribution is very uneven, and the poor, agriculturalists, and indigenous people continue to have less access to healthcare services. Nicaragua's total fertility rate has fallen from around 6 children per woman in 1980 to below replacement level today, but the high birth rate among adolescents perpetuates a cycle of poverty and low educational attainment. |
| Demographic profile: | Nicaraguans emigrate primarily to Costa Rica and to a lesser extent the United States. Nicaraguan men have been migrating seasonally to Costa Rica to harvest bananas and coffee since the early 20th century. Political turmoil, civil war, and natural disasters from the 1970s through the 1990s dramatically increased the flow of refugees and permanent migrants seeking jobs, higher wages, and better social and healthcare benefits. Since 2000, Nicaraguan emigration to Costa Rica has slowed and stabilized. Today roughly 300,000 Nicaraguans are permanent residents of Costa Rica - about 75% of the foreign population - and thousands more migrate seasonally for work, many illegally. |
| Age structure: | 0-14 years: 26.65% (male 827,585 /female 794,086) |
| Age structure: | 15-24 years: 20.67% (male 632,847 /female 624,811) |
| Age structure: | 25-54 years: 41.04% (male 1,186,467 /female 1,310,957) |
| Age structure: | 55-64 years: 6.19% (male 173,674 /female 202,765) |
| Age structure: | 65 years and over: 5.46% (male 147,324 /female 184,697) (2018 est.) |
| Dependency ratios: | total dependency ratio: 54.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 46.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 12.8 (2015 est.) |
| Median age: | total: 26.2 years (2018 est.) |
| Median age: | male: 25.3 years |
| Median age: | female: 27.1 years |
| Population growth rate: | 0.97% (2018 est.) |
| Birth rate: | 17.5 births/1,000 population (2018 est.) |
| Death rate: | 5.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | -2.6 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the overwhelming majority of the population resides in the western half of the country, with much of the urban growth centered in the capital city of Managua; coastal areas also show large population clusters |
| Urbanization: | urban population: 58.8% of total population (2019) |
| Urbanization: | rate of urbanization: 1.45% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.055 million MANAGUA (capital) (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 19.2 years (2011/12 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 198 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 17.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 20.4 deaths/1,000 live births |
| Infant mortality rate: | female: 15 deaths/1,000 live births |
| Life expectancy at birth: | total population: 73.7 years (2018 est.) |
| Life expectancy at birth: | male: 71.5 years |
| Life expectancy at birth: | female: 76.1 years |
| Total fertility rate: | 1.87 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 80.4% (2011/12) |
| Drinking water source: | improved: urban: 99.3% of population |
