| People and Society | Czech Republic |
| --- | --- |
| Nationality: | noun: Czech(s) |
| Nationality: | adjective: Czech |
| Ethnic groups: | Czech 64.3%, Moravian 5%, Slovak 1.4%, other 1.8%, unspecified 27.5% (2011 est.) |
| Languages: | Czech 95.4%, Slovak 1.6%, other 3% (2011 census) |
| Religions: | Roman Catholic 10.4%, Protestant (includes Czech Brethren and Hussite) 1.1%, other and unspecified 54%, none 34.5% (2011 est.) |
| Population: | 10,627,448 (July 2014 est.) |
| Age structure: | 0-14 years: 14.9% (male 812,503/female 769,849) |
| Age structure: | 15-24 years: 10.6% (male 576,304/female 547,765) |
| Age structure: | 25-54 years: 43.6% (male 2,377,962/female 2,256,989) |
| Age structure: | 55-64 years: 13.4% (male 687,155/female 735,277) |
| Age structure: | 65 years and over: 17.6% (male 766,402/female 1,097,242) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 47.7 % |
| population pyramid: | youth dependency ratio: 22.4 % |
| population pyramid: | elderly dependency ratio: 25.4 % |
| population pyramid: | potential support ratio: 3.9 (2014 est.) |
| Median age: | total: 40.9 years |
| Median age: | male: 39.6 years |
| Median age: | female: 42.3 years (2014 est.) |
| Population growth rate: | 0.17% (2014 est.) |
| Birth rate: | 9.79 births/1,000 population (2014 est.) |
| Death rate: | 10.29 deaths/1,000 population (2014 est.) |
| Net migration rate: | 2.15 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 73.4% of total population (2011) |
| Urbanization: | rate of urbanization: 0.24% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PRAGUE (capital) 1.276 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 27.8 (2011 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 2.63 deaths/1,000 live births |
| Infant mortality rate: | male: 2.76 deaths/1,000 live births |
| Infant mortality rate: | female: 2.49 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 78.31 years |
| Life expectancy at birth: | male: 75.34 years |
| Life expectancy at birth: | female: 81.45 years (2014 est.) |
| Total fertility rate: | 1.43 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 86.3% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2008) |
| Health expenditures: | 7.4% of GDP (2011) |
| Physicians density: | 3.71 physicians/1,000 population (2010) |
| Hospital bed density: | 7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.6% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 32.7% (2008) |
| Children under the age of 5 years underweight: | 2% (2007) |
| Education expenditures: | 4.2% of GDP (2010) |
| Literacy: | definition: NA |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
| Unemployment, youth ages 15-24: | total: 19.5% |
| Unemployment, youth ages 15-24: | male: 19.9% |
| Unemployment, youth ages 15-24: | female: 19% (2012) |
