| People and Society | Zambia |
| --- | --- |
| Nationality: | noun: Zambian(s) |
| Nationality: | adjective: Zambian |
| Ethnic groups: | Bemba 21%, Tonga 13.6%, Chewa 7.4%, Lozi 5.7%, Nsenga 5.3%, Tumbuka 4.4%, Ngoni 4%, Lala 3.1%, Kaonde 2.9%, Namwanga 2.8%, Lunda (north Western) 2.6%, Mambwe 2.5%, Luvale 2.2%, Lamba 2.1%, Ushi 1.9%, Lenje 1.6%, Bisa 1.6%, Mbunda 1.2%, other 13.8%, unspecified 0.4% (2010 est.) |
| Languages: | Bembe 33.4%, Nyanja 14.7%, Tonga 11.4%, Chewa 4.5%, Lozi 5.5%, Nsenga 2.9%, Tumbuka 2.5%, Lunda (North Western) 1.9%, Kaonde 1.8%, Lala 1.8%, Lamba 1.8%, English (official) 1.7%, Luvale 1.5%, Mambwe 1.3%, Namwanga 1.2%, Lenje 1.1%, Bisa 1%, other 9.4%, unspecified 0.4% |
| Languages: | note: Zambia is said to have over 70 languages, although man of these may be considered dialects; all of Zambia's major languages are members of the Bantu family (2010 est.) |
| Religions: | Protestant 75.3%, Roman Catholic 20.2%, other 2.7% (includes Muslim Buddhist, Hindu, and Baha'i), none 1.8% (2010 est.) |
| Population: | 14,638,505 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 46.2% (male 3,393,388/female 3,362,850) |
| Age structure: | 15-24 years: 20% (male 1,465,009/female 1,467,555) |
| Age structure: | 25-54 years: 28.5% (male 2,105,768/female 2,072,314) |
| Age structure: | 55-64 years: 2.9% (male 199,098/female 222,214) |
| Age structure: | 65 years and over: 2.4% (male 151,471/female 198,838) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 96.4 % |
| population pyramid: | youth dependency ratio: 91.3 % |
