| People and Society | ZAMBIA |
| --- | --- |
| Population: | 15,510,711 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Zambian(s) |
| Nationality: | adjective: Zambian |
| Ethnic groups: | Bemba 21%, Tonga 13.6%, Chewa 7.4%, Lozi 5.7%, Nsenga 5.3%, Tumbuka 4.4%, Ngoni 4%, Lala 3.1%, Kaonde 2.9%, Namwanga 2.8%, Lunda (north Western) 2.6%, Mambwe 2.5%, Luvale 2.2%, Lamba 2.1%, Ushi 1.9%, Lenje 1.6%, Bisa 1.6%, Mbunda 1.2%, other 13.8%, unspecified 0.4% (2010 est.) |
| Languages: | Bembe 33.4%, Nyanja 14.7%, Tonga 11.4%, Lozi 5.5%, Chewa 4.5%, Nsenga 2.9%, Tumbuka 2.5%, Lunda (North Western) 1.9%, Kaonde 1.8%, Lala 1.8%, Lamba 1.8%, English (official) 1.7%, Luvale 1.5%, Mambwe 1.3%, Namwanga 1.2%, Lenje 1.1%, Bisa 1%, other 9.7%, unspecified 0.2% |
| Languages: | note: Zambia is said to have over 70 languages, although many of these may be considered dialects; all of Zambia's major languages are members of the Bantu family (2010 est.) |
| Religions: | Protestant 75.3%, Roman Catholic 20.2%, other 2.7% (includes Muslim Buddhist, Hindu, and Baha'i), none 1.8% (2010 est.) |
| Demographic profile: | Zambia’s poor, youthful population consists primarily of Bantu-speaking people representing nearly 70 different ethnicities. Zambia’s high fertility rate continues to drive rapid population growth, averaging almost 3 percent annually between 2000 and 2010. The country’s total fertility rate has fallen by less than 1.5 children per woman during the last 30 years and still averages among the world’s highest, almost 6 children per woman, largely because of the country’s lack of access to family planning services, education for girls, and employment for women. Zambia also exhibits wide fertility disparities based on rural or urban location, education, and income. Poor, uneducated women from rural areas are more likely to marry young, to give birth early, and to have more children, viewing children as a sign of prestige and recognizing that not all of their children will live to adulthood. HIV/AIDS is prevalent in Zambia and contributes to its low life expectancy. |
| Demographic profile: | Zambian emigration is low compared to many other African countries and is comprised predominantly of the well-educated. The small amount of brain drain, however, has a major impact in Zambia because of its limited human capital and lack of educational infrastructure for developing skilled professionals in key fields. For example, Zambia has few schools for training doctors, nurses, and other health care workers. Its spending on education is low compared to other sub-Saharan countries. |
| Age structure: | 0-14 years: 46.08% (male 3,590,466/female 3,556,756) |
| Age structure: | 15-24 years: 20% (male 1,550,183/female 1,552,706) |
| Age structure: | 25-54 years: 28.65% (male 2,239,661/female 2,204,823) |
| Age structure: | 55-64 years: 2.91% (male 211,039/female 240,156) |
| Age structure: | 65 years and over: 2.35% (male 158,827/female 206,094) (2016 est.) |
| Dependency ratios: | total dependency ratio: 95.4% |
| Dependency ratios: | youth dependency ratio: 89.7% |
| Dependency ratios: | elderly dependency ratio: 5.7% |
| Dependency ratios: | potential support ratio: 17.6% (2015 est.) |
| Median age: | total: 16.7 years |
| Median age: | male: 16.6 years |
| Median age: | female: 16.9 years (2016 est.) |
| Population growth rate: | 2.94% (2016 est.) |
| Birth rate: | 41.8 births/1,000 population (2016 est.) |
| Death rate: | 12.4 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 40.9% of total population (2015) |
| Urbanization: | rate of urbanization: 4.32% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LUSAKA (capital) 2.179 million (2015) |
