| People and Society | ZAMBIA |
| --- | --- |
| Nationality: | noun: Zambian(s) |
| Nationality: | adjective: Zambian |
| Ethnic groups: | Bemba 21%, Tonga 13.6%, Chewa 7.4%, Lozi 5.7%, Nsenga 5.3%, Tumbuka 4.4%, Ngoni 4%, Lala 3.1%, Kaonde 2.9%, Namwanga 2.8%, Lunda (north Western) 2.6%, Mambwe 2.5%, Luvale 2.2%, Lamba 2.1%, Ushi 1.9%, Lenje 1.6%, Bisa 1.6%, Mbunda 1.2%, other 13.8%, unspecified 0.4% (2010 est.) |
| Languages: | Bembe 33.4%, Nyanja 14.7%, Tonga 11.4%, Lozi 5.5%, Chewa 4.5%, Nsenga 2.9%, Tumbuka 2.5%, Lunda (North Western) 1.9%, Kaonde 1.8%, Lala 1.8%, Lamba 1.8%, English (official) 1.7%, Luvale 1.5%, Mambwe 1.3%, Namwanga 1.2%, Lenje 1.1%, Bisa 1%, other 9.2%, unspecified 0.4% |
| Languages: | note: Zambia is said to have over 70 languages, although many of these may be considered dialects; all of Zambia's major languages are members of the Bantu family (2010 est.) |
| Religions: | Protestant 75.3%, Roman Catholic 20.2%, other 2.7% (includes Muslim Buddhist, Hindu, and Baha'i), none 1.8% (2010 est.) |
| Population: | 15,066,266 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 46.12% (male 3,490,151/female 3,458,035) |
| Age structure: | 15-24 years: 20.02% (male 1,506,925/female 1,509,554) |
| Age structure: | 25-54 years: 28.6% (male 2,171,292/female 2,136,987) |
| Age structure: | 55-64 years: 2.89% (male 204,767/female 230,244) |
| Age structure: | 65 years and over: 2.38% (male 155,179/female 203,132) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 95.4% |
| population pyramid: | youth dependency ratio: 89.7% |
| population pyramid: | elderly dependency ratio: 5.7% |
| population pyramid: | potential support ratio: 17.6% (2015 est.) |
| Median age: | total: 16.7 years |
| Median age: | male: 16.6 years |
| Median age: | female: 16.8 years (2015 est.) |
| Population growth rate: | 2.88% (2015 est.) |
| Birth rate: | 42.13 births/1,000 population (2015 est.) |
| Death rate: | 12.67 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.68 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 40.9% of total population (2015) |
| Urbanization: | rate of urbanization: 4.32% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LUSAKA (capital) 2.179 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 64.72 deaths/1,000 live births |
| Infant mortality rate: | male: 70.19 deaths/1,000 live births |
| Infant mortality rate: | female: 59.09 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 52.15 years |
| Life expectancy at birth: | male: 50.54 years |
| Life expectancy at birth: | female: 53.81 years (2015 est.) |
| Total fertility rate: | 5.72 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 40.8% (2007) |
| Health expenditures: | 5% of GDP (2013) |
| Physicians density: | 0.17 physicians/1,000 population (2012) |
| Hospital bed density: | 2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85.6% of population |
| Drinking water source: | rural: 51.3% of population |
| Drinking water source: | total: 65.4% of population |
| unimproved: | urban: 14.4% of population |
| unimproved: | rural: 48.7% of population |
| unimproved: | total: 34.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 55.6% of population |
| Sanitation facility access: | rural: 35.7% of population |
| Sanitation facility access: | total: 43.9% of population |
| unimproved: | urban: 44.4% of population |
| unimproved: | rural: 64.3% of population |
| unimproved: | total: 56.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 12.37% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,150,400 (2014 est.) |
| HIV/AIDS - deaths: | 18,900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 7.2% (2014) |
| Children under the age of 5 years underweight: | 14.9% (2007) |
| Education expenditures: | 1.3% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 63.4% |
| Literacy: | male: 70.9% |
| Literacy: | female: 56% (2015 est.) |
| Child labor - children ages 5-14: | total number: 1,000,850 |
| Child labor - children ages 5-14: | percentage: 41% |
| Child labor - children ages 5-14: | note: data represents children ages 7-14 (2005 est.) |
| Unemployment, youth ages 15-24: | total: 23.4% (2005 est.) |
