| People | Zambia |
| --- | --- |
| Population: | 11,477,447 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 45.7% (male 2,633,578/female 2,608,714) |
| Age structure: | 15-64 years: 51.9% (male 2,969,913/female 2,990,923) |
| Age structure: | 65 years and over: 2.4% (male 116,818/female 157,501) (2007 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.6 years |
| Median age: | female: 16.9 years (2007 est.) |
| Population growth rate: | 1.664% (2007 est.) |
| Birth rate: | 40.78 births/1,000 population (2007 est.) |
| Death rate: | 21.46 deaths/1,000 population (2007 est.) |
| Net migration rate: | -2.68 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.993 male(s)/female |
| Sex ratio: | 65 years and over: 0.742 male(s)/female |
| Sex ratio: | total population: 0.994 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 100.71 deaths/1,000 live births |
| Infant mortality rate: | male: 105.48 deaths/1,000 live births |
| Infant mortality rate: | female: 95.8 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 38.44 years |
| Life expectancy at birth: | male: 38.34 years |
| Life expectancy at birth: | female: 38.54 years (2007 est.) |
| Total fertility rate: | 5.31 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 16.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 920,000 (2003 est.) |
| HIV/AIDS - deaths: | 89,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis (2007) |
| Nationality: | noun: Zambian(s) |
| Nationality: | adjective: Zambian |
| Ethnic groups: | African 98.7%, European 1.1%, other 0.2% |
| Religions: | Christian 50%-75%, Muslim and Hindu 24%-49%, indigenous beliefs 1% |
| Languages: | English (official), major vernaculars - Bemba, Kaonda, Lozi, Lunda, Luvale, Nyanja, Tonga, and about 70 other indigenous languages |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 80.6% |
| Literacy: | male: 86.8% |
| Literacy: | female: 74.8% (2003 est.) |
