| People | Serbia |
| --- | --- |
| Population: | 10,159,046 |
| Population: | note: all population data includes Kosovo (July 2008 est.) |
| Median age: | total: 37.5 years |
| Median age: | male: 36.1 years |
| Median age: | female: 39 years (2008 est.) |
| Life expectancy at birth: | total population: 75.29 years |
| Life expectancy at birth: | male: 72.7 years |
| Life expectancy at birth: | female: 78.09 years (2008 est.) |
| Total fertility rate: | 1.69 children born/woman (2008 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne disease: Crimean Congo hemorrhagic fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Serb(s) |
| Nationality: | adjective: Serbian |
| Ethnic groups: | Serb 82.9%, Hungarian 3.9%, Romany (Gypsy) 1.4%, Yugoslavs 1.1%, Bosniaks 1.8%, Montenegrin 0.9%, other 8% (2002 census) |
| Religions: | Serbian Orthodox 85%, Catholic 5.5%, Protestant 1.1%, Muslim 3.2%, unspecified 2.6%, other, unknown, or atheist 2.6% (2002 census) |
| Languages: | Serbian 88.3% (official), Hungarian 3.8%, Bosniak 1.8%, Romany (Gypsy) 1.1%, other 4.1%, unknown 0.9% (2002 census) |
| Languages: | note: Romanian, Hungarian, Slovak, Ukrainian, and Croatian all official in Vojvodina |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.9% |
| Literacy: | female: 94.1% (2003 census) |
| Literacy: | note: includes Montenegro |
| Education expenditures: | NA |
