| People and Society | PARAGUAY |
| --- | --- |
| Population: | 6,862,812 (July 2016 est.) |
| Nationality: | noun: Paraguayan(s) |
| Nationality: | adjective: Paraguayan |
| Ethnic groups: | mestizo (mixed Spanish and Amerindian) 95%, other 5% |
| Languages: | Spanish (official), Guarani (official) |
| Religions: | Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census) |
| Demographic profile: | Paraguay falls below the Latin American average in several socioeconomic categories, including immunization rates, potable water, sanitation, and secondary school enrollment, and has greater rates of income inequality and child and maternal mortality. Paraguay's poverty rate has declined in recent years but remains high, especially in rural areas, with more than a third of the population below the poverty line. However, the well-being of the poor in many regions has improved in terms of housing quality and access to clean water, telephone service, and electricity. The fertility rate continues to drop, declining sharply from an average 4.3 births per woman in the late 1990s to about 2 in 2013, as a result of the greater educational attainment of women, increased use of contraception, and a desire for smaller families among young women. |
| Demographic profile: | Paraguay is a country of emigration; it has not attracted large numbers of immigrants because of political instability, civil wars, years of dictatorship, and the greater appeal of neighboring countries. Paraguay first tried to encourage immigration in 1870 in order to rebound from the heavy death toll it suffered during the War of the Triple Alliance, but it received few European and Middle Eastern immigrants. In the 20th century, limited numbers of immigrants arrived from Lebanon, Japan, South Korea, and China, as well as Mennonites from Canada, Russia, and Mexico. Large flows of Brazilian immigrants have been arriving since the 1960s, mainly to work in agriculture. Paraguayans continue to emigrate to Argentina, Brazil, Uruguay, the United States, Italy, Spain, and France. |
| Age structure: | 0-14 years: 25.04% (male 874,541/female 844,212) |
| Age structure: | 15-24 years: 19.74% (male 680,998/female 673,534) |
| Age structure: | 25-54 years: 40.56% (male 1,392,814/female 1,390,655) |
| Age structure: | 55-64 years: 7.74% (male 270,769/female 260,300) |
| Age structure: | 65 years and over: 6.92% (male 222,435/female 252,554) (2016 est.) |
| Dependency ratios: | total dependency ratio: 56.6% |
| Dependency ratios: | youth dependency ratio: 47.2% |
| Dependency ratios: | elderly dependency ratio: 9.4% |
| Dependency ratios: | potential support ratio: 10.6% (2015 est.) |
| Median age: | total: 27.8 years |
| Median age: | male: 27.5 years |
| Median age: | female: 28 years (2016 est.) |
| Population growth rate: | 1.17% (2016 est.) |
| Birth rate: | 16.5 births/1,000 population (2016 est.) |
| Death rate: | 4.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most of the population resides in the eastern half of the country; to the west lies the Gran Chaco, which accounts for 60% of the land territory, but only 2% of the overall population |
| Urbanization: | urban population: 59.7% of total population (2015) |
| Urbanization: | rate of urbanization: 2.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ASUNCION (capital) 2.356 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 22.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008 est.) |
