| People and Society | Paraguay |
| --- | --- |
| Nationality: | noun: Paraguayan(s) |
| Nationality: | adjective: Paraguayan |
| Ethnic groups: | mestizo (mixed Spanish and Amerindian) 95%, other 5% |
| Languages: | Spanish (official), Guarani (official) |
| Religions: | Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census) |
| Demographic profile: | Paraguay falls below the Latin American average in several socioeconomic categories, including immunization rates, potable water, sanitation, and secondary school enrollment, and has greater rates of income inequality and child and maternal mortality. Paraguay's poverty rate has declined in recent years but remains high, especially in rural areas, with more than a third of the population below the poverty line. However, the well-being of the poor in many regions has improved in terms of housing quality and access to clean water, telephone service, and electricity. The fertility rate continues to drop, declining sharply from an average 4.3 births per woman in the late 1990s to about 2 in 2013, as a result of the greater educational attainment of women, increased use of contraception, and a desire for smaller families among young women. |
| Demographic profile: | Paraguay is a country of emigration; it has not attracted large numbers of immigrants because of political instability, civil wars, years of dictatorship, and the greater appeal of neighboring countries. Paraguay first tried to encourage immigration in 1870 in order to rebound from the heavy death toll it suffered during the War of the Triple Alliance, but it received few European and Middle Eastern immigrants. In the 20th century, limited numbers of immigrants arrived from Lebanon, Japan, South Korea, and China, as well as Mennonites from Canada, Russia, and Mexico. Large flows of Brazilian immigrants have been arriving since the 1960s, mainly to work in agriculture. Paraguayans continue to emigrate to Argentina, Brazil, Uruguay, the United States, Italy, Spain, and France. |
| Population: | 6,703,860 (July 2014 est.) |
| Age structure: | 0-14 years: 26.2% (male 892,315/female 861,915) |
| Age structure: | 15-24 years: 20.5% (male 691,365/female 683,653) |
| Age structure: | 25-54 years: 39.5% (male 1,326,281/female 1,323,194) |
| Age structure: | 55-64 years: 7.2% (male 246,869/female 236,564) |
| Age structure: | 65 years and over: 6.4% (male 206,089/female 235,615) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 60.5 % |
| population pyramid: | youth dependency ratio: 51.5 % |
| population pyramid: | elderly dependency ratio: 8.9 % |
| population pyramid: | potential support ratio: 11.2 (2014 est.) |
| Median age: | total: 26.8 years |
| Median age: | male: 26.6 years |
| Median age: | female: 27 years (2014 est.) |
| Population growth rate: | 1.19% (2014 est.) |
| Birth rate: | 16.66 births/1,000 population (2014 est.) |
| Death rate: | 4.64 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.08 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 61.9% of total population (2011) |
| Urbanization: | rate of urbanization: 2.55% annual rate of change (2010-15 est.) |
