| People and Society | Lebanon |
| --- | --- |
| Nationality: | noun: Lebanese (singular and plural) |
| Nationality: | adjective: Lebanese |
| Ethnic groups: | Arab 95%, Armenian 4%, other 1% |
| Ethnic groups: | note: many Christian Lebanese do not identify themselves as Arab but rather as descendents of the ancient Canaanites and prefer to be called Phoenicians |
| Languages: | Arabic (official), French, English, Armenian |
| Religions: | Muslim 59.7% (Shia, Sunni, Druze, Isma'ilite, Alawite or Nusayri), Christian 39% (Maronite Catholic, Greek Orthodox, Melkite Catholic, Armenian Orthodox, Syrian Catholic, Armenian Catholic, Syrian Orthodox, Roman Catholic, Chaldean, Assyrian, Coptic, Protestant), other 1.3% |
| Religions: | note: 17 religious sects recognized |
| Population: | 4,131,583 (July 2013 est.) |
| Age structure: | 0-14 years: 22.1% (male 467,416/female 445,352) |
| Age structure: | 15-24 years: 17.5% (male 368,097/female 353,518) |
| Age structure: | 25-54 years: 42.4% (male 844,217/female 906,795) |
| Age structure: | 55-64 years: 8.7% (male 165,271/female 193,312) |
| Age structure: | 65 years and over: 9.4% (male 178,080/female 209,525) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.8 % |
| population pyramid: | youth dependency ratio: 29.5 % |
| population pyramid: | elderly dependency ratio: 12.3 % |
| population pyramid: | potential support ratio: 8.1 (2013) |
| Median age: | total: 30.9 years |
| Median age: | male: 29.7 years |
| Median age: | female: 32.1 years (2013 est.) |
| Population growth rate: | -0.04% (2013 est.) |
| Birth rate: | 14.79 births/1,000 population (2013 est.) |
| Death rate: | 6.73 deaths/1,000 population (2013 est.) |
| Net migration rate: | -8.48 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 87.2% of total population (2011) |
| Urbanization: | rate of urbanization: 0.86% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BEIRUT (capital) 1.909 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2013 est.) |
| Maternal mortality rate: | 25 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 14.81 deaths/1,000 live births |
| Infant mortality rate: | male: 14.98 deaths/1,000 live births |
| Infant mortality rate: | female: 14.64 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.46 years |
| Life expectancy at birth: | male: 73.86 years |
| Life expectancy at birth: | female: 77.13 years (2013 est.) |
| Total fertility rate: | 1.75 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 58% (2004) |
| Health expenditures: | 6.3% of GDP (2011) |
| Physicians density: | 3.54 physicians/1,000 population (2009) |
| Hospital bed density: | 3.5 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 87% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 2% of population (2000 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,600 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 27.4% (2008) |
| Children under the age of 5 years underweight: | 4.2% (2004) |
| Education expenditures: | 1.7% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.6% |
| Literacy: | male: 93.4% |
| Literacy: | female: 86% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Child labor - children ages 5-14: | total number: 54,387 |
| Child labor - children ages 5-14: | percentage: 7 % (2000 est.) |
| Unemployment, youth ages 15-24: | total: 22.1% |
| Unemployment, youth ages 15-24: | male: 22.3% |
| Unemployment, youth ages 15-24: | female: 21.5% (2007) |
