| People and Society | AUSTRIA |
| --- | --- |
| Nationality: | noun: Austrian(s) |
| Nationality: | adjective: Austrian |
| Ethnic groups: | Austrians 91.1%, former Yugoslavs 4% (includes Croatians, Slovenes, Serbs, and Bosniaks), Turks 1.6%, German 0.9%, other or unspecified 2.4% (2001 census) |
| Languages: | German (official nationwide) 88.6%, Turkish 2.3%, Serbian 2.2%, Croatian (official in Burgenland) 1.6%, other (includes Slovene, official in South Carinthia, and Hungarian, official in Burgenland) 5.3% (2001 est.) |
| Religions: | Catholic 73.8% (includes Roman Catholic 73.6%, other Catholic .2%), Protestant 4.9%, Muslim 4.2%, Orthodox 2.2%, other 0.8% (includes other Christian), none 12%, unspecified 2% (2001 est.) |
| Population: | 8,665,550 (July 2015 est.) |
| Age structure: | 0-14 years: 14.05% (male 622,856/female 594,349) |
| Age structure: | 15-24 years: 11.55% (male 510,614/female 490,390) |
| Age structure: | 25-54 years: 42.98% (male 1,861,777/female 1,862,705) |
| Age structure: | 55-64 years: 12.51% (male 535,691/female 548,022) |
| Age structure: | 65 years and over: 18.92% (male 706,288/female 932,858) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 49.2% |
| population pyramid: | youth dependency ratio: 21.2% |
| population pyramid: | elderly dependency ratio: 28% |
| population pyramid: | potential support ratio: 3.6% (2015 est.) |
| Median age: | total: 43.6 years |
| Median age: | male: 42.5 years |
| Median age: | female: 44.6 years (2015 est.) |
| Population growth rate: | 0.55% (2015 est.) |
| Birth rate: | 9.41 births/1,000 population (2015 est.) |
| Death rate: | 9.42 deaths/1,000 population (2015 est.) |
| Net migration rate: | 5.56 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 66% of total population (2015) |
| Urbanization: | rate of urbanization: 0.4% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VIENNA (capital) 1.753 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 3.45 deaths/1,000 live births |
| Infant mortality rate: | male: 3.82 deaths/1,000 live births |
| Infant mortality rate: | female: 3.06 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 81.39 years |
| Life expectancy at birth: | male: 78.76 years |
| Life expectancy at birth: | female: 84.15 years (2015 est.) |
| Total fertility rate: | 1.46 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 69.6% |
| Contraceptive prevalence rate: | note: percent of women aged 18-46 (2008/09) |
| Health expenditures: | 11% of GDP (2013) |
| Physicians density: | 4.83 physicians/1,000 population (2011) |
| Hospital bed density: | 7.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 20.1% (2014) |
| Education expenditures: | 5.8% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2012) |
| Unemployment, youth ages 15-24: | total: 8.7% |
| Unemployment, youth ages 15-24: | male: 8.8% |
| Unemployment, youth ages 15-24: | female: 8.7% (2012 est.) |
