| People and Society | Austria |
| --- | --- |
| Nationality: | noun: Austrian(s) |
| Nationality: | adjective: Austrian |
| Ethnic groups: | Austrians 91.1%, former Yugoslavs 4% (includes Croatians, Slovenes, Serbs, and Bosniaks), Turks 1.6%, German 0.9%, other or unspecified 2.4% (2001 census) |
| Languages: | German (official nationwide) 88.6%, Turkish 2.3%, Serbian 2.2%, Croatian (official in Burgenland) 1.6%, other (includes Slovene, official in Carinthia, and Hungarian, official in Burgenland) 5.3% (2001 census) |
| Religions: | Roman Catholic 73.6%, Protestant 4.7%, Muslim 4.2%, other 3.5%, unspecified 2%, none 12% (2001 census) |
| Population: | 8,221,646 (July 2013 est.) |
| Age structure: | 0-14 years: 13.7% (male 577,390/female 550,496) |
| Age structure: | 15-24 years: 11.8% (male 494,324/female 474,171) |
| Age structure: | 25-54 years: 43.1% (male 1,779,534/female 1,766,779) |
| Age structure: | 55-64 years: 12.5% (male 506,419/female 520,552) |
| Age structure: | 65 years and over: 18.9% (male 656,883/female 895,098) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.9 % |
| population pyramid: | youth dependency ratio: 21.6 % |
| population pyramid: | elderly dependency ratio: 27.3 % |
| population pyramid: | potential support ratio: 3.7 (2013) |
| Median age: | total: 43.9 years |
| Median age: | male: 42.8 years |
| Median age: | female: 44.9 years (2013 est.) |
| Population growth rate: | 0.02% (2013 est.) |
| Birth rate: | 8.73 births/1,000 population (2013 est.) |
| Death rate: | 10.31 deaths/1,000 population (2013 est.) |
| Net migration rate: | 1.78 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 68% of total population (2010) |
| Urbanization: | rate of urbanization: 0.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VIENNA (capital) 1.72 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 28.5 (2011 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.21 deaths/1,000 live births |
| Infant mortality rate: | male: 5.09 deaths/1,000 live births |
| Infant mortality rate: | female: 3.3 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 80.04 years |
| Life expectancy at birth: | male: 77.13 years |
| Life expectancy at birth: | female: 83.1 years (2013 est.) |
| Total fertility rate: | 1.42 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 69.6% |
| Contraceptive prevalence rate: | note: percent of women aged 18-46 (2009) |
| Health expenditures: | 10.6% of GDP (2011) |
| Physicians density: | 4.86 physicians/1,000 population (2010) |
| Hospital bed density: | 7.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 15,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 20.9% (2008) |
| Education expenditures: | 6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98% |
| Literacy: | male: NA |
| Literacy: | female: NA |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2011) |
| Unemployment, youth ages 15-24: | total: 8.3% |
| Unemployment, youth ages 15-24: | male: 7.9% |
| Unemployment, youth ages 15-24: | female: 8.8% (2011) |
