| People and Society | BELGIUM |
| --- | --- |
| Nationality: | noun: Belgian(s) |
| Nationality: | adjective: Belgian |
| Ethnic groups: | Fleming 58%, Walloon 31%, mixed or other 11% |
| Languages: | Dutch (official) 60%, French (official) 40%, German (official) less than 1% |
| Religions: | Roman Catholic 75%, other (includes Protestant) 25% |
| Population: | 11,323,973 (July 2015 est.) |
| Age structure: | 0-14 years: 17.08% (male 990,272/female 943,363) |
| Age structure: | 15-24 years: 11.59% (male 669,540/female 642,486) |
| Age structure: | 25-54 years: 40.45% (male 2,308,285/female 2,272,085) |
| Age structure: | 55-64 years: 12.65% (male 709,347/female 723,696) |
| Age structure: | 65 years and over: 18.23% (male 893,096/female 1,171,803) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 54.2% |
| population pyramid: | youth dependency ratio: 26.1% |
| population pyramid: | elderly dependency ratio: 28.1% |
| population pyramid: | potential support ratio: 3.6% (2015 est.) |
| Median age: | total: 41.4 years |
| Median age: | male: 40.2 years |
| Median age: | female: 42.6 years (2015 est.) |
| Population growth rate: | 0.76% (2015 est.) |
| Birth rate: | 11.41 births/1,000 population (2015 est.) |
| Death rate: | 9.63 deaths/1,000 population (2015 est.) |
| Net migration rate: | 5.87 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 97.9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.48% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRUSSELS (capital) 2.045 million; Antwerp 994,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 3.41 deaths/1,000 live births |
| Infant mortality rate: | male: 3.81 deaths/1,000 live births |
| Infant mortality rate: | female: 3 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 80.88 years |
| Life expectancy at birth: | male: 78.3 years |
| Life expectancy at birth: | female: 83.58 years (2015 est.) |
| Total fertility rate: | 1.78 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 70.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2008/10) |
| Health expenditures: | 11.2% of GDP (2013) |
| Physicians density: | 3.78 physicians/1,000 population (2010) |
| Hospital bed density: | 6.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.5% of population |
| Sanitation facility access: | rural: 99.4% of population |
| Sanitation facility access: | total: 99.5% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 0.6% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.1% (2014) |
| Education expenditures: | 6.5% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2012) |
| Unemployment, youth ages 15-24: | total: 19.8% |
| Unemployment, youth ages 15-24: | male: 20.4% |
| Unemployment, youth ages 15-24: | female: 19.8% (2012 est.) |
