| People and Society | Belgium |
| --- | --- |
| Nationality: | noun: Belgian(s) |
| Nationality: | adjective: Belgian |
| Ethnic groups: | Fleming 58%, Walloon 31%, mixed or other 11% |
| Languages: | Dutch (official) 60%, French (official) 40%, German (official) less than 1%, legally bilingual (Dutch and French) |
| Religions: | Roman Catholic 75%, other (includes Protestant) 25% |
| Population: | 10,449,361 (July 2014 est.) |
| Age structure: | 0-14 years: 15.6% (male 830,980/female 797,624) |
| Age structure: | 15-24 years: 11.7% (male 624,486/female 598,904) |
| Age structure: | 25-54 years: 40.4% (male 2,131,869/female 2,086,212) |
| Age structure: | 55-64 years: 13.3% (male 690,395/female 704,284) |
| Age structure: | 65 years and over: 19% (male 836,685/female 1,147,922) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 54.8 % |
| population pyramid: | youth dependency ratio: 26.4 % |
| population pyramid: | elderly dependency ratio: 28.4 % |
| population pyramid: | potential support ratio: 3.5 (2014 est.) |
| Median age: | total: 43.1 years |
| Median age: | male: 41.7 years |
| Median age: | female: 44.4 years (2014 est.) |
| Population growth rate: | 0.05% (2014 est.) |
| Birth rate: | 9.99 births/1,000 population (2014 est.) |
| Death rate: | 10.76 deaths/1,000 population (2014 est.) |
| Net migration rate: | 1.22 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 97.5% of total population (2011) |
| Urbanization: | rate of urbanization: 0.32% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRUSSELS (capital) 1.949 million; Antwerp 959,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 28 (2010 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.18 deaths/1,000 live births |
| Infant mortality rate: | male: 4.67 deaths/1,000 live births |
| Infant mortality rate: | female: 3.66 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 79.92 years |
| Life expectancy at birth: | male: 76.76 years |
| Life expectancy at birth: | female: 83.22 years (2014 est.) |
| Total fertility rate: | 1.65 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 70.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2010) |
| Health expenditures: | 10.6% of GDP (2011) |
| Physicians density: | 3.78 physicians/1,000 population (2010) |
| Hospital bed density: | 6.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 22.1% (2008) |
| Education expenditures: | 6.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
| Unemployment, youth ages 15-24: | total: 19.8% |
| Unemployment, youth ages 15-24: | male: 20.4% |
| Unemployment, youth ages 15-24: | female: 19.8% (2012) |
