| People and Society | BELGIUM |
| --- | --- |
| Population: | 11,409,077 (July 2016 est.) |
| Nationality: | noun: Belgian(s) |
| Nationality: | adjective: Belgian |
| Ethnic groups: | Flemish 58%, Walloon 31%, mixed or other 11% |
| Languages: | Dutch (official) 60%, French (official) 40%, German (official) less than 1% |
| Religions: | Roman Catholic 75%, other (includes Protestant) 25% |
| Age structure: | 0-14 years: 17.12% (male 1,000,155/female 952,529) |
| Age structure: | 15-24 years: 11.47% (male 667,760/female 640,364) |
| Age structure: | 25-54 years: 40.25% (male 2,315,256/female 2,277,308) |
| Age structure: | 55-64 years: 12.76% (male 720,823/female 735,225) |
| Age structure: | 65 years and over: 18.4% (male 911,199/female 1,188,458) (2016 est.) |
| Dependency ratios: | total dependency ratio: 54.2% |
| Dependency ratios: | youth dependency ratio: 26.1% |
| Dependency ratios: | elderly dependency ratio: 28.1% |
| Dependency ratios: | potential support ratio: 3.6% (2015 est.) |
| Median age: | total: 41.4 years |
| Median age: | male: 40.2 years |
| Median age: | female: 42.7 years (2016 est.) |
| Population growth rate: | 0.73% (2016 est.) |
| Birth rate: | 11.4 births/1,000 population (2016 est.) |
| Death rate: | 9.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | 5.6 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most of the population concentrated in the northern two-thirds of the country; the southeast is more thinly populated; considered to have one of the highest population densities in the world; approximately 97% live in urban areas |
| Urbanization: | urban population: 97.9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.48% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRUSSELS (capital) 2.045 million; Antwerp 994,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 28.2 (2010 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births |
| Infant mortality rate: | male: 3.8 deaths/1,000 live births |
| Infant mortality rate: | female: 3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 81 years |
| Life expectancy at birth: | male: 78.4 years |
| Life expectancy at birth: | female: 83.7 years (2016 est.) |
| Total fertility rate: | 1.78 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 70.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2008/10) |
| Health expenditures: | 10.6% of GDP (2014) |
| Physicians density: | 3.78 physicians/1,000 population (2010) |
| Hospital bed density: | 6.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.5% of population |
| Sanitation facility access: | rural: 99.4% of population |
| Sanitation facility access: | total: 99.5% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 0.6% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.1% (2014) |
| Education expenditures: | 6.4% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 21 years (2014) |
| Unemployment, youth ages 15-24: | total: 23.2% |
| Unemployment, youth ages 15-24: | male: 24% |
| Unemployment, youth ages 15-24: | female: 22.3% (2014 est.) |
